time,pos,vel,torque
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.428685844629147494e-01
5.000000000000012768e-02,5.098499089235340731e-03,2.106594584206308018e-01,6.937450566627152426e-01
1.000000000000002554e-01,2.179310136863045130e-02,4.648506865968501933e-01,8.988538844228349811e-01
1.500000000000003830e-01,5.212797531491512870e-02,7.516812906487002621e-01,1.066629812879079431e+00
2.000000000000005107e-01,9.701677228546318199e-02,1.041888160835460653e+00,1.187355047904558925e+00
2.500000000000006661e-01,1.558516314415711035e-01,1.304302130300567075e+00,1.253765593145210522e+00
3.000000000000007661e-01,2.264721671426926652e-01,1.508413160960117017e+00,1.260902549665458894e+00
3.500000000000008660e-01,3.052639817670237954e-01,1.627025888469239678e+00,1.207336624381065482e+00
4.000000000000010214e-01,3.873872197689827712e-01,1.638651258612932038e+00,1.094622216081642785e+00
4.500000000000011768e-01,4.671065657021589157e-01,1.529178878185600610e+00,9.275474491703876723e-01
5.000000000000013323e-01,5.381832601782454706e-01,1.292610340834811966e+00,7.131721964051328522e-01
5.500000000000013767e-01,5.942789750193132603e-01,9.308855239987087193e-01,4.605623642468483769e-01
6.000000000000015321e-01,6.293370548910177664e-01,4.531918038105490210e-01,1.798514010460581236e-01
6.500000000000016875e-01,6.379256015448705464e-01,-1.247573382846813433e-01,-1.181365389167373658e-01
7.000000000000017319e-01,6.155559151859423261e-01,-7.809234813143810516e-01,-4.218814803842353411e-01
7.500000000000018874e-01,5.590072072965601713e-01,-1.486524901218860606e+00,-7.192271056830744635e-01
8.000000000000020428e-01,4.666821837444453669e-01,-2.205281063271999464e+00,-9.965409892834182770e-01
8.500000000000021982e-01,3.389911947190729635e-01,-2.893276185526465039e+00,-1.239111019785769319e+00
9.000000000000023537e-01,1.786969954601233534e-01,-3.500884918197685991e+00,-1.432224985022814590e+00
9.500000000000023981e-01,-8.729130747701582815e-03,-3.966903197528605318e+00,-1.499999999999982681e+00
1.000000000000002665e+00,-2.147426191239530380e-01,-4.238641219367584867e+00,-1.500000000000000000e+00
1.050000000000002709e+00,-4.291246435824059291e-01,-4.303077763677062961e+00,-1.500000000000000000e+00
1.100000000000002753e+00,-6.418828879904614482e-01,-4.178119141002770931e+00,-1.500000000000000000e+00
1.150000000000003020e+00,-8.439127448871055481e-01,-3.872172052435916001e+00,-1.355698776221046620e+00
1.200000000000003064e+00,-1.026211295572164728e+00,-3.392946437206093346e+00,-1.150515841967740815e+00
1.250000000000003109e+00,-1.180786319599902212e+00,-2.768185290855648795e+00,-9.076564777373701265e-01
1.300000000000003375e+00,-1.301072236972550256e+00,-2.025535821133439995e+00,-6.383426648350075672e-01
1.350000000000003419e+00,-1.381731804389473739e+00,-1.185972763274341757e+00,-3.502777134370818612e-01
1.400000000000003464e+00,-1.418279539644442089e+00,-2.627212355043269110e-01,-4.828100031796972447e-02
1.450000000000003730e+00,-1.406740532272748423e+00,7.363918732600961414e-01,2.648744030325563825e-01
1.500000000000003775e+00,-1.343497532278008944e+00,1.803831768078136388e+00,5.866850035348525338e-01
1.550000000000004041e+00,-1.225453555268464223e+00,2.924922062753533059e+00,9.126347301375443699e-01
1.600000000000004086e+00,-1.050610005439066796e+00,4.068871270457512956e+00,1.233694687805557244e+00
1.650000000000004130e+00,-8.191883033071455378e-01,5.174636447036889741e+00,1.499999999999930278e+00
1.700000000000004396e+00,-5.358763878614211107e-01,6.116391001606098499e+00,1.500000000000000000e+00
1.750000000000004441e+00,-2.123063257296123607e-01,6.773557382845123875e+00,1.500000000000000000e+00
1.800000000000004707e+00,1.358134337526706592e-01,7.092786347788048396e+00,1.500000000000000000e+00
1.850000000000004752e+00,4.911860099488162268e-01,7.067284007620994402e+00,1.500000000000000000e+00
1.900000000000004796e+00,8.375858701701550668e-01,6.746211611207431957e+00,1.500000000000000000e+00
1.950000000000005063e+00,1.162381005352904895e+00,6.220088071748273606e+00,1.500000000000000000e+00
2.000000000000005329e+00,1.457910413372395242e+00,5.592333867968196870e+00,1.500000000000000000e+00
2.050000000000005151e+00,1.721304777515169304e+00,4.944945579787073164e+00,1.447242885255826783e+00
2.100000000000005418e+00,1.952598134246675166e+00,4.308107577804656252e+00,1.235659990428084054e+00
2.150000000000005684e+00,2.152587030194347051e+00,3.698613953059350035e+00,1.037898575548021451e+00
