time,position,velocity,torque
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.094666662982533900e-01
1.000000000000000021e-02,-3.367638855406856623e-04,-6.709426490933534382e-02,-6.960465352168742070e-01
2.000000000000000042e-02,-1.336437303917886732e-03,-1.325544110234487816e-01,-7.472479692148108477e-01
2.999999999999999889e-02,-2.981474958717296106e-03,-1.961018753606686982e-01,-3.318690775623958089e-01
4.000000000000000083e-02,-5.251287354052719750e-03,-2.574933884192712186e-01,-7.506024679132817790e-01
5.000000000000000278e-02,-8.123929892567114189e-03,-3.166613057641558537e-01,-7.119115735192785843e-01
5.999999999999999778e-02,-1.157576207881831805e-02,-3.732045933899619250e-01,-8.456437199713364716e-01
7.000000000000000666e-02,-1.557788618880913238e-02,-4.267075710590051973e-01,-8.192909795359675229e-01
8.000000000000000167e-02,-2.009909912046118838e-02,-4.769667954693512790e-01,-8.867546106018694418e-01
8.999999999999999667e-02,-2.510553974181260403e-02,-5.237218016014003608e-01,-8.889875109728455627e-01
1.000000000000000056e-01,-3.056138172444159556e-02,-5.668312198513663080e-01,-9.211173112630671733e-01
1.100000000000000006e-01,-3.642900954169554090e-02,-6.059950094982970992e-01,-9.085728425207562076e-01
1.199999999999999956e-01,-4.266763044577136926e-02,-6.410636432223238979e-01,-8.585188670660501842e-01
1.300000000000000044e-01,-4.923697201219658093e-02,-6.721395700992348621e-01,-8.842186711740627203e-01
1.400000000000000133e-01,-5.609566727159392974e-02,-6.987901718000112394e-01,-7.560889662665660760e-01
1.499999999999999944e-01,-6.319680057456190936e-02,-7.206487185838470477e-01,-7.066512661519880334e-01
1.600000000000000033e-01,-7.049243578460356874e-02,-7.376461915204602926e-01,-5.749286779229144662e-01
1.700000000000000122e-01,-7.793337139055137031e-02,-7.497381464858244859e-01,-5.246339540824587200e-01
1.799999999999999933e-01,-8.547098904161505584e-02,-7.569677617140477821e-01,-3.712133891775922789e-01
1.900000000000000022e-01,-9.305604873564657376e-02,-7.591946553786881324e-01,-2.732169080671610906e-01
2.000000000000000111e-01,-1.006378772950751593e-01,-7.563206199118630568e-01,-1.159885130721050872e-01
2.099999999999999922e-01,-1.081653845571014516e-01,-7.483241608345947427e-01,-1.922727069177002784e-02
2.200000000000000011e-01,-1.155871087971891559e-01,-7.351527607760486305e-01,9.806120765602679978e-02
2.300000000000000100e-01,-1.228510691771978608e-01,-7.167707136845995475e-01,1.819757577505251023e-01
2.399999999999999911e-01,-1.299052006438487505e-01,-6.931924411999491609e-01,2.630725646133947881e-01
2.500000000000000000e-01,-1.366978145680624590e-01,-6.644835877915646893e-01,2.943344791194767995e-01
2.600000000000000089e-01,-1.431780065723977646e-01,-6.307154623780035774e-01,4.375869997995963656e-01
2.700000000000000178e-01,-1.492954692730089350e-01,-5.919514160159077276e-01,4.917830435702833514e-01
2.800000000000000266e-01,-1.550007098604112288e-01,-5.482902671439160436e-01,5.860219483624841130e-01
2.899999999999999800e-01,-1.602453198249594868e-01,-4.998430811584248512e-01,6.331454919960569638e-01
2.999999999999999889e-01,-1.649820162494763931e-01,-4.467296939742526618e-01,6.797820109327677995e-01
3.099999999999999978e-01,-1.691648306062438489e-01,-3.890917193921071271e-01,7.283843596779753238e-01
3.200000000000000067e-01,-1.727493067063999854e-01,-3.270908756559882669e-01,7.427857673145991102e-01
3.300000000000000155e-01,-1.756927172964207196e-01,-2.609110623244796923e-01,7.742412395687862103e-01
3.400000000000000244e-01,-1.779542744554160616e-01,-1.907554462191917155e-01,7.716653148847314458e-01
3.500000000000000333e-01,-1.794953275350618660e-01,-1.168504297367551070e-01,8.220101527317700274e-01
3.599999999999999867e-01,-1.802795962508943750e-01,-3.943955353284302884e-02,7.624477583103455025e-01
3.699999999999999956e-01,-1.802732495778555655e-01,4.123187174662669430e-02,7.692104795923334626e-01
3.800000000000000044e-01,-1.794449048383129075e-01,1.249193517677863879e-01,6.979095090441829186e-01
