time,position,velocity,torque
0.000000000000000000e+00,1.907377737087045944e-04,5.494505494507251342e-03,-2.930402930402919992e-03
1.000070571899414062e-02,-3.624017700465387293e-03,-8.626373626373613490e-01,-5.655677655677653348e-01
2.000164985656738281e-02,-5.912870984969842425e-03,5.219780219780218999e-01,-8.234432234432240705e-01
3.000187873840332031e-02,-6.675822079804660802e-03,-5.329670329670328499e-01,-6.417582417582412546e-01
4.000234603881835938e-02,-7.438773174639479180e-03,1.923076923076934008e-01,-3.721611721611726153e-01
5.000281333923339844e-02,-1.163500419623098026e-02,-6.318681318681313996e-01,-6.593406593406587746e-01
6.000328063964843750e-02,-1.354238193331802620e-02,-2.747252747252915128e-02,-7.120879120879113344e-01
7.000398635864257812e-02,-1.850156404974434565e-02,-5.329670329670328499e-01,-8.000000000000007105e-01
8.000445365905761719e-02,-2.193484397650102835e-02,-2.142857142857153008e-01,-8.468864468864474304e-01
9.000539779663085938e-02,-2.765697718776216618e-02,-5.989010989010985497e-01,-8.703296703296707904e-01
1.000063419342041016e-01,-3.299763485160589482e-02,-5.989010989010985497e-01,-9.113553113553116702e-01
1.100072860717773438e-01,-3.986419470511926022e-02,-7.307692307692299494e-01,-8.527472527472532704e-01
1.200077533721923828e-01,-4.711223010605003481e-02,-6.318681318681313996e-01,-8.820512820512824703e-01
1.300082206726074219e-01,-5.474174105439821858e-02,-8.626373626373613490e-01,-8.410256410256415904e-01
1.400089263916015625e-01,-6.351567864499862992e-02,-8.296703296703284991e-01,-8.000000000000007105e-01
1.500096321105957031e-01,-7.228961623559904126e-02,-7.967032967032956492e-01,-7.296703296703288544e-01
1.600100994110107422e-01,-8.220798046845168017e-02,-1.082417582417583901e+00,-7.120879120879113344e-01
1.700112819671630859e-01,-9.212634470130431907e-02,-9.835164835164817987e-01,-5.597069597069594948e-01
1.800119876861572266e-01,-1.024261844815743672e-01,-1.148351648351649601e+00,-5.479853479853478149e-01
1.900124549865722656e-01,-1.127260242618444153e-01,-8.846153846153832490e-01,-3.545787545787550954e-01
2.000129222869873047e-01,-1.234073395895318725e-01,-1.082417582417583901e+00,-2.901098901098908556e-01
2.100133895874023438e-01,-1.329442282749671023e-01,-8.626373626373613490e-01,-1.260073260073255597e-01
2.200138568878173828e-01,-1.420996414129849228e-01,-8.296703296703284991e-01,-3.223443223443211991e-02
2.300143241882324219e-01,-1.489662012664982882e-01,-4.450549450549452501e-01,6.739926739926715982e-02
2.400147914886474609e-01,-1.569771877622638812e-01,-1.269230769230770051e+00,2.608058608058616556e-01
2.500157356262207031e-01,-1.661326009002817017e-01,-5.329670329670328499e-01,2.021978021978014795e-01
2.600159645080566406e-01,-1.726176852063776579e-01,-1.016483516483518201e+00,3.545787545787550954e-01
2.700164318084716797e-01,-1.802471961547258417e-01,-5.659340659340656998e-01,4.131868131868134952e-01
2.800166606903076172e-01,-1.855878538185695703e-01,-6.648351648351642496e-01,4.893772893772894150e-01
2.900171279907226562e-01,-1.905470359349958898e-01,-4.120879120879124002e-01,5.597069597069594948e-01
3.000175952911376953e-01,-1.943617914091699816e-01,-3.461538461538467004e-01,6.183150183150178947e-01
3.100183010101318359e-01,-1.962691691462570276e-01,-2.472527472527481507e-01,7.003663003662996545e-01
3.200194835662841797e-01,-1.974135957885092552e-01,1.043956043956058011e-01,6.945054945054938145e-01
3.300201892852783203e-01,-1.974135957885092552e-01,3.846153846154010125e-02,7.413919413919405343e-01
3.400213718414306641e-01,-1.966506446936744368e-01,1.703296703296715009e-01,7.648351648351656706e-01
3.500223159790039062e-01,-1.939803158617525725e-01,3.901098901098905003e-01,2.256410256410248394e-01
3.600225448608398438e-01,-1.913099870298307081e-01,5.439560439560437999e-01,5.597069597069594948e-01
3.700230121612548828e-01,-1.863508049134043887e-01,2.912087912087919506e-01,8.351648351648357504e-01
3.800232410430908203e-01,-1.810101472495606600e-01,6.428571428571423496e-01,7.413919413919405343e-01
3.900234699249267578e-01,-1.749065384908821130e-01,7.087912087912080494e-01,6.593406593406587746e-01
4.000239372253417969e-01,-1.672770275425339292e-01,6.428571428571423496e-01,6.710622710622704545e-01
4.100241661071777344e-01,-1.596475165941857455e-01,8.076923076923065992e-01,6.827838827838821345e-01
4.200246334075927734e-01,-1.504921034561679249e-01,8.406593406593394491e-01,6.241758241758237347e-01
4.300253391265869141e-01,-1.401922636758978769e-01,1.225274725274726251e+00,6.476190476190470946e-01
4.400258064270019531e-01,-1.302738994430452379e-01,9.615384615384598987e-01,6.886446886446879745e-01
4.500267505645751953e-01,-1.184481574731055531e-01,1.159340659340660551e+00,6.358974358974354146e-01
4.600269794464111328e-01,-1.066224155031658682e-01,1.093406593406594851e+00,7.120879120879113344e-01
4.700276851654052734e-01,-9.250782024872172826e-02,1.445054945054945250e+00,6.358974358974354146e-01
4.800279140472412109e-01,-7.915617608911240666e-02,1.445054945054945250e+00,7.824175824175831906e-01
4.900283813476562500e-01,-6.389715419241603911e-02,1.631868131868131400e+00,7.355311355311346944e-01
5.000288486480712891e-01,-4.978255893797189913e-02,1.510989010989010950e+00,7.531135531135539907e-01
5.100293159484863281e-01,-3.261615930418848563e-02,1.763736263736262799e+00,8.586080586080591104e-01
5.200300216674804688e-01,-1.735713740749211809e-02,1.730769230769229949e+00,7.238095238095230144e-01
5.300304889678955078e-01,9.536888685435229718e-04,1.576923076923076650e+00,8.761904761904766303e-01
5.400309562683105469e-01,1.888303959716175484e-02,1.862637362637361349e+00,8.644688644688649504e-01
5.500321388244628906e-01,3.681239032577998671e-02,1.796703296703295649e+00,8.234432234432240705e-01
5.600328445434570312e-01,5.550469214923303696e-02,1.950549450549448949e+00,8.175824175824182305e-01
5.700337886810302734e-01,7.495994506752090558e-02,1.862637362637361349e+00,9.641025641025642301e-01
5.800342559814453125e-01,9.517814908064359258e-02,2.082417582417583901e+00,9.758241758241759101e-01
5.900349617004394531e-01,1.157778286411836888e-01,2.115384615384616751e+00,9.465201465201467101e-01
6.000354290008544922e-01,1.363775082017237850e-01,2.148351648351649601e+00,9.347985347985350302e-01
6.100356578826904297e-01,1.577401388570986995e-01,2.181318681318682451e+00,9.465201465201467101e-01
6.200361251831054688e-01,1.794842450598910233e-01,2.082417582417583901e+00,9.641025641025642301e-01
6.300363540649414062e-01,2.019913023575181654e-01,2.181318681318682451e+00,9.816849816849817500e-01
6.400368213653564453e-01,2.244983596551453076e-01,2.247252747252748151e+00,1.069597069597069350e+00
6.500375270843505859e-01,2.473868925001898589e-01,2.214285714285715301e+00,1.040293040293040150e+00
6.600377559661865234e-01,2.710383764400710049e-01,2.401098901098901450e+00,1.069597069597069350e+00
6.700387001037597656e-01,2.943083848325329654e-01,2.368131868131868600e+00,1.022710622710622630e+00
6.800389289855957031e-01,3.179598687724123351e-01,2.467032967032967150e+00,1.022710622710622630e+00
6.900396347045898438e-01,3.416113527122917048e-01,2.401098901098901450e+00,9.816849816849817500e-01
7.000401020050048828e-01,3.652628366521710745e-01,2.467032967032967150e+00,9.113553113553116702e-01
7.100403308868408203e-01,3.885328450446330351e-01,2.401098901098901450e+00,8.117216117216123905e-01
7.200407981872558594e-01,4.121843289845124048e-01,2.368131868131868600e+00,7.472527472527463743e-01
7.300410270690917969e-01,4.343099107347221377e-01,2.214285714285715301e+00,6.886446886446879745e-01
7.400414943695068359e-01,4.568169680323492798e-01,2.247252747252748151e+00,5.890109890109886948e-01
7.500424385070800781e-01,4.789425497825590128e-01,2.016483516483518201e+00,5.714285714285711748e-01
7.600426673889160156e-01,4.995422293430991090e-01,1.983516483516481799e+00,5.128205128205127750e-01
7.700436115264892578e-01,5.205233844510566144e-01,2.016483516483518201e+00,4.717948717948718951e-01
7.800440788269042969e-01,5.392156862745096646e-01,1.950549450549448949e+00,4.131868131868134952e-01
7.900445461273193359e-01,5.571450370031278965e-01,1.763736263736262799e+00,3.076923076923083755e-01
8.000450134277343750e-01,5.739299610894939008e-01,1.631868131868131400e+00,3.135531135531142155e-01
