time,position,velocity,torque
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.345943004446445102e-01
1.000000000000000021e-02,-3.367638855406856623e-04,-6.709426490933534382e-02,-6.929927151621855241e-01
2.000000000000000042e-02,-1.336437303917886732e-03,-1.325544110234487816e-01,-6.217234987275728209e-01
2.999999999999999889e-02,-2.981474958717296106e-03,-1.961018753606686982e-01,-7.310236300768375717e-01
4.000000000000000083e-02,-5.251287354052719750e-03,-2.574933884192712186e-01,-8.041551533503725757e-01
5.000000000000000278e-02,-8.123929892567114189e-03,-3.166613057641558537e-01,-8.650797729038286477e-01
5.999999999999999778e-02,-1.157576207881831805e-02,-3.732045933899619250e-01,-9.164902753975228133e-01
7.000000000000000666e-02,-1.557788618880913238e-02,-4.267075710590051973e-01,-9.457171152820831317e-01
8.000000000000000167e-02,-2.009909912046118838e-02,-4.769667954693512790e-01,-9.974008209709874784e-01
8.999999999999999667e-02,-2.510553974181260403e-02,-5.237218016014003608e-01,-1.003439265596351770e+00
1.000000000000000056e-01,-3.056138172444159556e-02,-5.668312198513663080e-01,-1.018254875095135681e+00
1.100000000000000006e-01,-3.642900954169554090e-02,-6.059950094982970992e-01,-9.995957356842064545e-01
1.199999999999999956e-01,-4.266763044577136926e-02,-6.410636432223238979e-01,-9.567475690876181549e-01
1.300000000000000044e-01,-4.923697201219658093e-02,-6.721395700992348621e-01,-8.949095559114434995e-01
1.400000000000000133e-01,-5.609566727159392974e-02,-6.987901718000112394e-01,-8.170466272261670548e-01
1.499999999999999944e-01,-6.319680057456190936e-02,-7.206487185838470477e-01,-7.340274892655920258e-01
1.600000000000000033e-01,-7.049243578460356874e-02,-7.376461915204602926e-01,-6.255341754649444974e-01
1.700000000000000122e-01,-7.793337139055137031e-02,-7.497381464858244859e-01,-5.117672226565920246e-01
1.799999999999999933e-01,-8.547098904161505584e-02,-7.569677617140477821e-01,-3.677201027843449155e-01
1.900000000000000022e-01,-9.305604873564657376e-02,-7.591946553786881324e-01,-2.379794325869761806e-01
2.000000000000000111e-01,-1.006378772950751593e-01,-7.563206199118630568e-01,-1.100983011022892005e-01
2.099999999999999922e-01,-1.081653845571014516e-01,-7.483241608345947427e-01,1.241077228111402316e-02
2.200000000000000011e-01,-1.155871087971891559e-01,-7.351527607760486305e-01,1.183537976094906491e-01
2.300000000000000100e-01,-1.228510691771978608e-01,-7.167707136845995475e-01,2.165577486671143304e-01
2.399999999999999911e-01,-1.299052006438487505e-01,-6.931924411999491609e-01,2.585742081784995205e-01
2.500000000000000000e-01,-1.366978145680624590e-01,-6.644835877915646893e-01,3.332965352010393012e-01
2.600000000000000089e-01,-1.431780065723977646e-01,-6.307154623780035774e-01,4.486921406295805159e-01
2.700000000000000178e-01,-1.492954692730089350e-01,-5.919514160159077276e-01,4.880556626039208035e-01
2.800000000000000266e-01,-1.550007098604112288e-01,-5.482902671439160436e-01,5.609748184007923300e-01
2.899999999999999800e-01,-1.602453198249594868e-01,-4.998430811584248512e-01,6.028724880964564381e-01
2.999999999999999889e-01,-1.649820162494763931e-01,-4.467296939742526618e-01,6.281844035285225614e-01
3.099999999999999978e-01,-1.691648306062438489e-01,-3.890917193921071271e-01,6.504856216688781334e-01
3.200000000000000067e-01,-1.727493067063999854e-01,-3.270908756559882669e-01,6.515505846121095734e-01
3.300000000000000155e-01,-1.756927172964207196e-01,-2.609110623244796923e-01,6.631342081692096491e-01
3.400000000000000244e-01,-1.779542744554160616e-01,-1.907554462191917155e-01,6.857666723674455955e-01
3.500000000000000333e-01,-1.794953275350618660e-01,-1.168504297367551070e-01,7.090374816436478822e-01
3.599999999999999867e-01,-1.802795962508943750e-01,-3.943955353284302884e-02,6.637637620710650221e-01
3.699999999999999956e-01,-1.802732495778555655e-01,4.123187174662669430e-02,6.530813731412391521e-01
3.800000000000000044e-01,-1.794449048383129075e-01,1.249193517677863879e-01,6.226138973863741821e-01
3.900000000000000133e-01,-1.777657095737552595e-01,2.113526423523733044e-01,6.026379314793219866e-01
4.000000000000000222e-01,-1.752096795279766417e-01,3.002376145949734454e-01,6.028288592944168744e-01
4.100000000000000311e-01,-1.717537833591927521e-01,3.912747420794660536e-01,5.697515280450231590e-01
4.199999999999999845e-01,-1.673780573807322480e-01,4.841500768213329864e-01,5.976925055365182038e-01
4.299999999999999933e-01,-1.620657419344043171e-01,5.785374295934171407e-01,5.762920463230272183e-01
4.400000000000000022e-01,-1.558033877532863376e-01,6.741011809442355451e-01,5.911216249351136653e-01
4.500000000000000111e-01,-1.485809457370219355e-01,7.704968321864931191e-01,6.219208272725410547e-01
4.600000000000000200e-01,-1.403918563168443379e-01,8.673710874941130688e-01,6.220262018584490349e-01
4.700000000000000289e-01,-1.312331383854402345e-01,9.643612329860388188e-01,6.852263260129077826e-01
4.799999999999999822e-01,-1.211054749302133554e-01,1.061098645645124128e+00,7.106355565532872509e-01
4.899999999999999911e-01,-1.100132569507246277e-01,1.157208911447873634e+00,7.458417162977335479e-01
5.000000000000000000e-01,-9.796464942968088896e-02,1.252313696602800119e+00,7.692853718042584887e-01
5.100000000000000089e-01,-8.497160262832396949e-02,1.346032985322188180e+00,8.432652231641837304e-01
5.200000000000000178e-01,-7.104987497316822553e-02,1.437987127877148108e+00,8.317334575903947425e-01
5.300000000000000266e-01,-5.621900591438006023e-02,1.527797996617185960e+00,8.754806800337889827e-01
5.400000000000000355e-01,-4.050233354123033980e-02,1.615083847615895074e+00,8.850310235690536098e-01
5.500000000000000444e-01,-2.392703110936923033e-02,1.699459640765014878e+00,9.044385062182277446e-01
5.600000000000000533e-01,-6.524070079738793562e-03,1.780557241169707039e+00,9.250357976497156631e-01
5.700000000000000622e-01,1.167211600843468498e-02,1.858056150952685615e+00,9.231384899642749442e-01
5.799999999999999600e-01,3.062387622906069529e-02,1.931602805444675219e+00,9.290780114292154224e-01
5.899999999999999689e-01,5.028924053364489805e-02,2.000670962474901948e+00,9.374327471287230429e-01
5.999999999999999778e-01,7.062100150764384632e-02,2.064851653978154733e+00,9.633841443983067743e-01
6.099999999999999867e-01,9.156962175641575330e-02,2.124037436814540492e+00,9.396308183777648537e-01
6.199999999999999956e-01,1.130848825223223636e-01,2.178163615216128779e+00,9.636631882268908988e-01
