time,position,velocity,torque
0.000000000000000000e+00,-1.907377737087045944e-04,-1.263736263736277010e-01,2.930402930402919992e-03
1.000046730041503906e-02,-1.335164415960932160e-03,-6.043956043956200119e-02,-5.304029304029302949e-01
2.000093460083007812e-02,-1.716639963378341349e-03,-9.340659340659485110e-02,-6.710622710622704545e-01
3.000211715698242188e-02,-2.479591058213159727e-03,-9.340659340659485110e-02,-6.124542124542120547e-01
4.000258445739746094e-02,-5.149919890135024048e-03,-1.593406593406605509e-01,-7.472527472527463743e-01
5.000305175781250000e-02,-6.675822079804660802e-03,-2.472527472527481507e-01,-7.648351648351656706e-01
6.000328063964843750e-02,-9.727626459143934312e-03,-6.043956043956200119e-02,-8.879120879120883103e-01
7.000374794006347656e-02,-1.430533302815284458e-02,-4.120879120879124002e-01,-8.175824175824182305e-01
8.000421524047851562e-02,-1.812008850232693646e-02,-2.802197802197810006e-01,-9.582417582417583901e-01
9.000515937805175781e-02,-2.384222171358807429e-02,-5.659340659340656998e-01,-9.699633699633700701e-01
1.000056266784667969e-01,-2.956435492484921213e-02,-6.648351648351642496e-01,-9.641025641025642301e-01
1.100058555603027344e-01,-3.643091477836257752e-02,-7.307692307692299494e-01,-9.875457875457875900e-01
1.200065612792968750e-01,-4.367895017929335211e-02,-7.307692307692299494e-01,-9.523809523809525501e-01
1.300075054168701172e-01,-5.207141222247635426e-02,-7.307692307692299494e-01,-9.992673992673992700e-01
1.400079727172851562e-01,-6.084534981307676560e-02,-8.846153846153832490e-01,-8.820512820512824703e-01
1.500084400177001953e-01,-7.076371404592940451e-02,-1.049450549450551051e+00,-7.941391941391948706e-01
1.600086688995361328e-01,-7.991912718394722503e-02,-9.175824175824160989e-01,-7.355311355311346944e-01
1.700096130371093750e-01,-9.136339360646950070e-02,-1.181318681318682451e+00,-5.831501831501828548e-01
1.800100803375244141e-01,-1.012817578393221396e-01,-9.175824175824160989e-01,-5.538461538461536549e-01
1.900105476379394531e-01,-1.119630731670095969e-01,-1.115384615384616751e+00,-3.780219780219784553e-01
2.000112533569335938e-01,-1.222629129472796450e-01,-1.016483516483518201e+00,-2.490842490842481993e-01
2.100119590759277344e-01,-1.321812771801322839e-01,-1.049450549450551051e+00,-1.142857142857138797e-01
2.200124263763427734e-01,-1.405737392233152860e-01,-5.989010989010985497e-01,-2.930402930402919992e-03
2.300131320953369141e-01,-1.470588235294112422e-01,-5.989010989010985497e-01,1.142857142857138797e-01
2.400135993957519531e-01,-1.565957122148464720e-01,-1.181318681318682451e+00,2.549450549450558157e-01
2.500143051147460938e-01,-1.642252231631946557e-01,-5.659340659340656998e-01,2.373626373626365194e-01
2.600147724151611328e-01,-1.718547341115428395e-01,-7.967032967032956492e-01,3.369963369963375754e-01
2.700152397155761719e-01,-1.775768673228039773e-01,-6.318681318681313996e-01,4.600732600732602151e-01
2.800157070159912109e-01,-1.840619516288999336e-01,-3.791208791208795503e-01,4.659340659340660551e-01
2.900159358978271484e-01,-1.871137560082392071e-01,-3.461538461538467004e-01,5.714285714285711748e-01
3.000164031982421875e-01,-1.916914625772481173e-01,-2.142857142857153008e-01,5.538461538461536549e-01
3.100166320800781250e-01,-1.928358892195003449e-01,-2.802197802197810006e-01,6.476190476190470946e-01
3.200173377990722656e-01,-1.935988403143351633e-01,1.043956043956058011e-01,6.417582417582412546e-01
3.300180435180664062e-01,-1.935988403143351633e-01,1.043956043956058011e-01,6.417582417582412546e-01
3.400182723999023438e-01,-1.924544136720829357e-01,7.142857142857295116e-02,6.593406593406587746e-01
3.500187397003173828e-01,-1.890211337453262530e-01,4.890109890109890500e-01,6.769230769230762945e-01
3.600189685821533203e-01,-1.859693293659869795e-01,3.901098901098905003e-01,6.886446886446879745e-01
3.700201511383056641e-01,-1.810101472495606600e-01,4.890109890109890500e-01,6.710622710622704545e-01
3.800215721130371094e-01,-1.752880140382995222e-01,6.428571428571423496e-01,6.153846153846131983e-02
3.900218009948730469e-01,-1.695658808270383844e-01,8.956043956043941989e-01,3.721611721611726153e-01
4.000222682952880859e-01,-1.615548943312727914e-01,5.769230769230766498e-01,6.769230769230762945e-01
4.100227355957031250e-01,-1.539253833829246076e-01,9.285714285714270488e-01,5.831501831501828548e-01
4.200232028961181641e-01,-1.447699702449067871e-01,1.027472527472529151e+00,5.362637362637361349e-01
4.300239086151123047e-01,-1.352330815594715574e-01,8.956043956043941989e-01,6.241758241758237347e-01
4.400246143341064453e-01,-1.249332417792015093e-01,1.126373626373627701e+00,5.304029304029302949e-01
4.500255584716796875e-01,-1.134889753566792336e-01,1.027472527472529151e+00,5.831501831501828548e-01
4.600257873535156250e-01,-1.020447089341569580e-01,1.192307692307693401e+00,6.065934065934062147e-01
4.700262546539306641e-01,-8.869306477454763638e-02,1.225274725274726251e+00,6.358974358974354146e-01
4.800269603729248047e-01,-7.495994506752090558e-02,1.478021978021978100e+00,6.183150183150178947e-01
4.900274276733398438e-01,-6.046387426565935641e-02,1.280219780219781001e+00,7.648351648351656706e-01
5.000278949737548828e-01,-4.558632791638039805e-02,1.697802197802197099e+00,6.300366300366295746e-01
5.100283622741699219e-01,-2.956435492484921213e-02,1.543956043956043800e+00,8.644688644688649504e-01
5.200290679931640625e-01,-1.316090638590061701e-02,1.950549450549448949e+00,7.472527472527463743e-01
5.300297737121582031e-01,3.624017700465387293e-03,1.631868131868131400e+00,8.234432234432240705e-01
5.400304794311523438e-01,2.193484397650102835e-02,1.862637362637361349e+00,8.820512820512824703e-01
5.500309467315673828e-01,4.024567025253666941e-02,1.950549450549448949e+00,8.644688644688649504e-01
5.600311756134033203e-01,5.893797207598971966e-02,1.950549450549448949e+00,8.761904761904766303e-01
5.700318813323974609e-01,7.877470054169499747e-02,1.895604395604394199e+00,8.468864468864474304e-01
5.800323486328125000e-01,9.899290455481768447e-02,1.950549450549448949e+00,9.816849816849817500e-01
5.900325775146484375e-01,1.195925841153577807e-01,2.148351648351649601e+00,9.641025641025642301e-01
6.000330448150634766e-01,1.409552147707326952e-01,2.115384615384616751e+00,9.641025641025642301e-01
6.100332736968994141e-01,1.623178454261076098e-01,2.302197802197802901e+00,9.113553113553116702e-01
6.200339794158935547e-01,1.844434271763173427e-01,2.214285714285715301e+00,9.054945054945058303e-01
6.300346851348876953e-01,2.069504844739444849e-01,2.181318681318682451e+00,9.347985347985350302e-01
6.400356292724609375e-01,2.298390173189890362e-01,2.247252747252748151e+00,8.586080586080591104e-01
6.500360965728759766e-01,2.531090257114527731e-01,2.269230769230770051e+00,9.113553113553116702e-01
6.600365638732910156e-01,2.763790341039147336e-01,2.247252747252748151e+00,8.937728937728941503e-01
6.700372695922851562e-01,3.000305180437941033e-01,2.302197802197802901e+00,9.816849816849817500e-01
6.800382137298583984e-01,3.236820019836734730e-01,2.302197802197802901e+00,9.113553113553116702e-01
6.900386810302734375e-01,3.477149614709702519e-01,2.368131868131868600e+00,9.465201465201467101e-01
7.000393867492675781e-01,3.713664454108496216e-01,2.434065934065934300e+00,8.468864468864474304e-01
7.100400924682617188e-01,3.950179293507289913e-01,2.401098901098901450e+00,8.351648351648357504e-01
7.200412750244140625e-01,4.179064621957735426e-01,2.368131868131868600e+00,7.765567765567773506e-01
7.300422191619873047e-01,4.411764705882355031e-01,2.247252747252748151e+00,7.238095238095230144e-01
7.400426864624023438e-01,4.636835278858626452e-01,2.269230769230770051e+00,6.358974358974354146e-01
7.500431537628173828e-01,4.858091096360723782e-01,2.181318681318682451e+00,5.128205128205127750e-01
