time,position,velocity,torque
0.000000000000000000e+00,1.907377737087045944e-04,-2.747252747252915128e-02,-2.930402930402919992e-03
1.000046730041503906e-02,-3.624017700465387293e-03,-8.626373626373613490e-01,-5.714285714285711748e-01
2.000093460083007812e-02,-6.294346532387251614e-03,4.560439560439562001e-01,-8.293040293040299105e-01
3.000164031982421875e-02,-6.294346532387251614e-03,-4.780219780219781001e-01,-6.065934065934062147e-01
4.000234603881835938e-02,-7.820248722056888369e-03,1.703296703296715009e-01,-3.604395604395609354e-01
5.000281333923339844e-02,-1.125352864881357107e-02,-5.659340659340656998e-01,-6.417582417582412546e-01
6.000328063964843750e-02,-1.354238193331802620e-02,5.494505494507251342e-03,-7.062271062271054944e-01
7.000350952148437500e-02,-1.812008850232693646e-02,-5.329670329670328499e-01,-7.765567765567773506e-01
8.000421524047851562e-02,-2.155336842908361916e-02,-2.802197802197810006e-01,-8.351648351648357504e-01
9.000444412231445312e-02,-2.689402609292734780e-02,-5.659340659340656998e-01,-8.937728937728941503e-01
1.000053882598876953e-01,-3.223468375677107645e-02,-4.450549450549452501e-01,-9.289377289377291902e-01
1.100058555603027344e-01,-3.910124361028444184e-02,-7.307692307692299494e-01,-8.293040293040299105e-01
1.200065612792968750e-01,-4.634927901121521643e-02,-7.637362637362627993e-01,-8.761904761904766303e-01
1.300072669982910156e-01,-5.436026550698080939e-02,-8.626373626373613490e-01,-8.820512820512824703e-01
1.400077342987060547e-01,-6.275272755016381154e-02,-1.082417582417583901e+00,-8.234432234432240705e-01
1.500082015991210938e-01,-7.152666514076422288e-02,-8.846153846153832490e-01,-7.296703296703288544e-01
1.600086688995361328e-01,-8.106355382619945260e-02,-9.835164835164817987e-01,-7.238095238095230144e-01
1.700093746185302734e-01,-9.098191805905209151e-02,-1.016483516483518201e+00,-5.421245421245419749e-01
1.800098419189453125e-01,-1.012817578393221396e-01,-9.505494505494489488e-01,-5.186813186813186149e-01
1.900100708007812500e-01,-1.119630731670095969e-01,-1.148351648351649601e+00,-3.487179487179492554e-01
2.000105381011962891e-01,-1.222629129472796450e-01,-1.016483516483518201e+00,-2.549450549450558157e-01
2.100110054016113281e-01,-1.317998016327148747e-01,-9.835164835164817987e-01,-1.142857142857138797e-01
2.200119495391845703e-01,-1.413366903181501044e-01,-7.307692307692299494e-01,-1.465201465201459996e-02
2.300128936767578125e-01,-1.482032501716634698e-01,-5.659340659340656998e-01,1.025641025641021997e-01
2.400135993957519531e-01,-1.558327611200116536e-01,-1.335164835164835750e+00,3.252747252747258955e-01
2.500145435333251953e-01,-1.649881742580294741e-01,-4.780219780219781001e-01,2.256410256410248394e-01
2.600157260894775391e-01,-1.714732585641254303e-01,-8.296703296703284991e-01,3.780219780219784553e-01
2.700161933898925781e-01,-1.783398184176387957e-01,-5.329670329670328499e-01,4.190476190476193352e-01
2.800166606903076172e-01,-1.844434271763173427e-01,-6.318681318681313996e-01,4.893772893772894150e-01
2.900176048278808594e-01,-1.882581826504914346e-01,-3.461538461538467004e-01,5.714285714285711748e-01
3.000180721282958984e-01,-1.920729381246655265e-01,-2.802197802197810006e-01,5.890109890109886948e-01
3.100192546844482422e-01,-1.939803158617525725e-01,-9.340659340659485110e-02,6.769230769230762945e-01
3.200197219848632812e-01,-1.955062180514222092e-01,-1.263736263736277010e-01,6.769230769230762945e-01
3.300206661224365234e-01,-1.951247425040048000e-01,1.043956043956058011e-01,6.886446886446879745e-01
3.400216102600097656e-01,-1.935988403143351633e-01,1.923076923076934008e-01,7.003663003662996545e-01
3.500220775604248047e-01,-1.913099870298307081e-01,1.923076923076934008e-01,7.238095238095230144e-01
3.600225448608398438e-01,-1.886396581979088438e-01,1.373626373626386510e-01,4.190476190476193352e-01
3.700232505798339844e-01,-1.829175249866477060e-01,7.417582417582408993e-01,6.300366300366295746e-01
3.800237178802490234e-01,-1.787212939650562049e-01,3.571428571428576504e-01,7.355311355311346944e-01
3.900244235992431641e-01,-1.714732585641254303e-01,7.747252747252737493e-01,6.593406593406587746e-01
4.000248908996582031e-01,-1.649881742580294741e-01,6.758241758241751995e-01,6.886446886446879745e-01
4.100253582000732422e-01,-1.565957122148464720e-01,1.027472527472529151e+00,6.945054945054938145e-01
4.200255870819091797e-01,-1.482032501716634698e-01,9.615384615384598987e-01,6.124542124542120547e-01
4.300260543823242188e-01,-1.382848859388108309e-01,8.956043956043941989e-01,6.593406593406587746e-01
4.400265216827392578e-01,-1.279850461585407828e-01,1.247252747252748151e+00,6.593406593406587746e-01
4.500281810760498047e-01,-1.161593041886010980e-01,1.192307692307693401e+00,6.476190476190470946e-01
4.600288867950439453e-01,-1.043335622186614131e-01,1.247252747252748151e+00,6.886446886446879745e-01
4.700293540954589844e-01,-9.098191805905209151e-02,1.346153846153846700e+00,6.534798534798529346e-01
4.800300598144531250e-01,-7.801174944686017909e-02,1.313186813186813851e+00,7.120879120879113344e-01
4.900305271148681641e-01,-6.275272755016381154e-02,1.664835164835164250e+00,6.769230769230762945e-01
5.000312328338623047e-01,-4.901960784313708075e-02,1.313186813186813851e+00,6.945054945054938145e-01
5.100321769714355469e-01,-3.223468375677107645e-02,1.598901098901098550e+00,8.468864468864474304e-01
