time,position,velocity,torque
0.000000000000000000e+00,1.907377737087045944e-04,7.142857142857295116e-02,2.930402930402919992e-03
5.000352859497070312e-03,1.907377737087045944e-04,5.494505494507251342e-03,8.791208791208759976e-03
1.000046730041503906e-02,5.722133211261137831e-04,7.142857142857295116e-02,2.930402930402919992e-03
1.500082015991210938e-02,1.907377737087045944e-04,5.494505494507251342e-03,2.930402930402919992e-03
2.000117301940917969e-02,1.907377737087045944e-04,1.043956043956058011e-01,8.791208791208759976e-03
2.500128746032714844e-02,1.907377737087045944e-04,-2.747252747252915128e-02,8.791208791208759976e-03
3.000140190124511719e-02,1.907377737087045944e-04,5.494505494507251342e-03,8.791208791208759976e-03
3.500175476074218750e-02,1.907377737087045944e-04,3.846153846154010125e-02,8.791208791208759976e-03
4.000210762023925781e-02,1.907377737087045944e-04,5.494505494507251342e-03,8.791208791208759976e-03
4.500222206115722656e-02,1.907377737087045944e-04,7.142857142857295116e-02,2.930402930402919992e-03
5.000257492065429688e-02,1.907377737087045944e-04,5.494505494507251342e-03,8.791208791208759976e-03
5.500340461730957031e-02,1.907377737087045944e-04,7.142857142857295116e-02,2.930402930402919992e-03
6.000351905822753906e-02,1.907377737087045944e-04,5.494505494507251342e-03,2.930402930402919992e-03
6.500363349914550781e-02,1.907377737087045944e-04,-6.043956043956200119e-02,8.791208791208759976e-03
7.000398635864257812e-02,1.907377737087045944e-04,5.494505494507251342e-03,8.791208791208759976e-03
7.500457763671875000e-02,1.907377737087045944e-04,-9.340659340659485110e-02,2.930402930402919992e-03
8.000540733337402344e-02,1.907377737087045944e-04,-2.747252747252915128e-02,2.930402930402919992e-03
8.500599861145019531e-02,1.907377737087045944e-04,5.494505494507251342e-03,2.930402930402919992e-03
9.000635147094726562e-02,1.907377737087045944e-04,3.846153846154010125e-02,2.930402930402919992e-03
9.500646591186523438e-02,1.907377737087045944e-04,3.846153846154010125e-02,8.791208791208759976e-03
1.000065803527832031e-01,1.907377737087045944e-04,7.142857142857295116e-02,2.930402930402919992e-03
1.050076484680175781e-01,1.907377737087045944e-04,1.043956043956058011e-01,8.791208791208759976e-03
1.100084781646728516e-01,1.907377737087045944e-04,-6.043956043956200119e-02,8.791208791208759976e-03
1.150088310241699219e-01,1.907377737087045944e-04,3.846153846154010125e-02,8.791208791208759976e-03
1.200094223022460938e-01,1.907377737087045944e-04,5.494505494507251342e-03,2.930402930402919992e-03
1.250095367431640625e-01,1.907377737087045944e-04,3.846153846154010125e-02,8.791208791208759976e-03
1.300096511840820312e-01,1.907377737087045944e-04,3.846153846154010125e-02,2.930402930402919992e-03
1.350102424621582031e-01,1.907377737087045944e-04,3.846153846154010125e-02,2.930402930402919992e-03
1.400103569030761719e-01,1.907377737087045944e-04,3.846153846154010125e-02,8.791208791208759976e-03
1.450104713439941406e-01,1.907377737087045944e-04,-6.043956043956200119e-02,8.791208791208759976e-03
1.500105857849121094e-01,1.907377737087045944e-04,-6.043956043956200119e-02,2.930402930402919992e-03
1.550107002258300781e-01,1.907377737087045944e-04,7.142857142857295116e-02,8.791208791208759976e-03
1.600108146667480469e-01,1.907377737087045944e-04,1.373626373626386510e-01,2.930402930402919992e-03
1.650109291076660156e-01,1.907377737087045944e-04,3.846153846154010125e-02,8.791208791208759976e-03
1.700112819671630859e-01,1.907377737087045944e-04,3.846153846154010125e-02,2.930402930402919992e-03
1.750113964080810547e-01,1.907377737087045944e-04,5.494505494507251342e-03,8.791208791208759976e-03
1.800115108489990234e-01,1.907377737087045944e-04,-2.747252747252915128e-02,8.791208791208759976e-03
1.850118637084960938e-01,1.907377737087045944e-04,-6.043956043956200119e-02,8.791208791208759976e-03
1.900119781494140625e-01,1.907377737087045944e-04,-9.340659340659485110e-02,2.930402930402919992e-03
1.950120925903320312e-01,1.907377737087045944e-04,7.142857142857295116e-02,2.930402930402919992e-03
2.000122070312500000e-01,1.907377737087045944e-04,3.846153846154010125e-02,8.791208791208759976e-03
2.050125598907470703e-01,1.907377737087045944e-04,-6.043956043956200119e-02,2.930402930402919992e-03
2.100126743316650391e-01,1.907377737087045944e-04,7.142857142857295116e-02,2.930402930402919992e-03
2.150127887725830078e-01,1.907377737087045944e-04,5.494505494507251342e-03,2.930402930402919992e-03
2.200133800506591797e-01,1.907377737087045944e-04,5.494505494507251342e-03,2.930402930402919992e-03
2.250137329101562500e-01,1.907377737087045944e-04,3.846153846154010125e-02,8.791208791208759976e-03
2.300138473510742188e-01,1.907377737087045944e-04,-2.747252747252915128e-02,8.791208791208759976e-03
2.350142002105712891e-01,1.907377737087045944e-04,5.494505494507251342e-03,8.791208791208759976e-03
2.400143146514892578e-01,1.907377737087045944e-04,3.846153846154010125e-02,8.791208791208759976e-03
2.450144290924072266e-01,1.907377737087045944e-04,5.494505494507251342e-03,8.791208791208759976e-03
2.500147819519042969e-01,1.907377737087045944e-04,5.494505494507251342e-03,2.930402930402919992e-03
2.550151348114013672e-01,1.907377737087045944e-04,-2.747252747252915128e-02,8.791208791208759976e-03
2.600152492523193359e-01,1.907377737087045944e-04,-2.747252747252915128e-02,2.930402930402919992e-03
2.650153636932373047e-01,1.907377737087045944e-04,5.494505494507251342e-03,8.791208791208759976e-03
2.700159549713134766e-01,1.907377737087045944e-04,-2.747252747252915128e-02,2.930402930402919992e-03
2.750160694122314453e-01,1.907377737087045944e-04,7.142857142857295116e-02,8.791208791208759976e-03
2.800161838531494141e-01,1.907377737087045944e-04,3.846153846154010125e-02,2.930402930402919992e-03
2.850165367126464844e-01,1.907377737087045944e-04,7.142857142857295116e-02,8.791208791208759976e-03
2.900171279907226562e-01,1.907377737087045944e-04,3.846153846154010125e-02,2.930402930402919992e-03
2.950177192687988281e-01,1.907377737087045944e-04,5.494505494507251342e-03,8.791208791208759976e-03
3.000183105468750000e-01,1.907377737087045944e-04,5.494505494507251342e-03,8.791208791208759976e-03
3.050186634063720703e-01,1.907377737087045944e-04,-6.043956043956200119e-02,2.930402930402919992e-03
3.100190162658691406e-01,1.907377737087045944e-04,5.494505494507251342e-03,8.791208791208759976e-03
3.150191307067871094e-01,1.907377737087045944e-04,3.846153846154010125e-02,8.791208791208759976e-03
3.200194835662841797e-01,1.907377737087045944e-04,-2.747252747252915128e-02,2.930402930402919992e-03
3.250198364257812500e-01,1.907377737087045944e-04,-6.043956043956200119e-02,8.791208791208759976e-03
3.300199508666992188e-01,1.907377737087045944e-04,-2.747252747252915128e-02,2.930402930402919992e-03
3.350203037261962891e-01,1.907377737087045944e-04,-9.340659340659485110e-02,8.791208791208759976e-03
3.400204181671142578e-01,1.907377737087045944e-04,3.846153846154010125e-02,8.791208791208759976e-03
3.450205326080322266e-01,1.907377737087045944e-04,3.846153846154010125e-02,2.930402930402919992e-03
3.500208854675292969e-01,1.907377737087045944e-04,3.846153846154010125e-02,8.791208791208759976e-03
3.550209999084472656e-01,1.907377737087045944e-04,-6.043956043956200119e-02,2.930402930402919992e-03
3.600211143493652344e-01,1.907377737087045944e-04,3.846153846154010125e-02,2.930402930402919992e-03
3.650212287902832031e-01,1.907377737087045944e-04,-2.747252747252915128e-02,2.930402930402919992e-03
3.700218200683593750e-01,1.907377737087045944e-04,1.043956043956058011e-01,8.791208791208759976e-03
3.750219345092773438e-01,1.907377737087045944e-04,-6.043956043956200119e-02,2.930402930402919992e-03
3.800220489501953125e-01,1.907377737087045944e-04,5.494505494507251342e-03,8.791208791208759976e-03
3.850226402282714844e-01,1.907377737087045944e-04,5.494505494507251342e-03,8.791208791208759976e-03
3.900229930877685547e-01,1.907377737087045944e-04,7.142857142857295116e-02,2.930402930402919992e-03
3.950231075286865234e-01,1.907377737087045944e-04,-2.747252747252915128e-02,8.791208791208759976e-03
4.000234603881835938e-01,1.907377737087045944e-04,-6.043956043956200119e-02,8.791208791208759976e-03
4.050235748291015625e-01,1.907377737087045944e-04,-6.043956043956200119e-02,8.791208791208759976e-03
4.100236892700195312e-01,1.907377737087045944e-04,3.846153846154010125e-02,2.930402930402919992e-03
4.150238037109375000e-01,1.907377737087045944e-04,-6.043956043956200119e-02,8.791208791208759976e-03
4.200243949890136719e-01,1.907377737087045944e-04,-6.043956043956200119e-02,2.930402930402919992e-03
4.250247478485107422e-01,1.907377737087045944e-04,-9.340659340659485110e-02,8.791208791208759976e-03
4.300248622894287109e-01,1.907377737087045944e-04,5.494505494507251342e-03,2.930402930402919992e-03
4.350249767303466797e-01,1.907377737087045944e-04,5.494505494507251342e-03,2.930402930402919992e-03
4.400253295898437500e-01,1.907377737087045944e-04,3.846153846154010125e-02,8.791208791208759976e-03
4.450254440307617188e-01,1.907377737087045944e-04,-2.747252747252915128e-02,8.791208791208759976e-03
4.500255584716796875e-01,1.907377737087045944e-04,7.142857142857295116e-02,2.930402930402919992e-03
4.550259113311767578e-01,1.907377737087045944e-04,3.846153846154010125e-02,2.930402930402919992e-03
4.600262641906738281e-01,1.907377737087045944e-04,3.846153846154010125e-02,2.930402930402919992e-03
4.650263786315917969e-01,1.907377737087045944e-04,-6.043956043956200119e-02,2.930402930402919992e-03
4.700267314910888672e-01,1.907377737087045944e-04,3.846153846154010125e-02,2.930402930402919992e-03
4.750268459320068359e-01,1.907377737087045944e-04,5.494505494507251342e-03,8.791208791208759976e-03
4.800269603729248047e-01,1.907377737087045944e-04,5.494505494507251342e-03,8.791208791208759976e-03
4.850275516510009766e-01,1.907377737087045944e-04,3.846153846154010125e-02,2.930402930402919992e-03
4.900276660919189453e-01,1.907377737087045944e-04,3.846153846154010125e-02,8.791208791208759976e-03
4.950277805328369141e-01,1.907377737087045944e-04,-6.043956043956200119e-02,8.791208791208759976e-03
5.000281333923339844e-01,1.907377737087045944e-04,7.142857142857295116e-02,2.930402930402919992e-03
5.050287246704101562e-01,1.907377737087045944e-04,5.494505494507251342e-03,2.930402930402919992e-03
5.100293159484863281e-01,1.907377737087045944e-04,3.846153846154010125e-02,8.791208791208759976e-03
5.150296688079833984e-01,1.907377737087045944e-04,5.494505494507251342e-03,8.791208791208759976e-03
5.200307369232177734e-01,1.907377737087045944e-04,5.494505494507251342e-03,2.930402930402919992e-03
5.250315666198730469e-01,1.907377737087045944e-04,5.494505494507251342e-03,8.791208791208759976e-03
5.300316810607910156e-01,1.907377737087045944e-04,-6.043956043956200119e-02,2.930402930402919992e-03
5.350317955017089844e-01,1.907377737087045944e-04,7.142857142857295116e-02,8.791208791208759976e-03
5.400321483612060547e-01,1.907377737087045944e-04,3.846153846154010125e-02,2.930402930402919992e-03
5.450327396392822266e-01,1.907377737087045944e-04,-6.043956043956200119e-02,2.930402930402919992e-03
5.500335693359375000e-01,1.907377737087045944e-04,-2.747252747252915128e-02,8.791208791208759976e-03
5.550339221954345703e-01,1.907377737087045944e-04,7.142857142857295116e-02,2.930402930402919992e-03
5.600340366363525391e-01,1.907377737087045944e-04,5.494505494507251342e-03,8.791208791208759976e-03
5.650341510772705078e-01,1.907377737087045944e-04,-2.747252747252915128e-02,2.930402930402919992e-03
5.700345039367675781e-01,1.907377737087045944e-04,7.142857142857295116e-02,8.791208791208759976e-03
5.750346183776855469e-01,1.907377737087045944e-04,3.846153846154010125e-02,2.930402930402919992e-03
5.800347328186035156e-01,1.907377737087045944e-04,-2.747252747252915128e-02,8.791208791208759976e-03
5.850355625152587891e-01,1.907377737087045944e-04,-2.747252747252915128e-02,8.791208791208759976e-03
5.900356769561767578e-01,1.907377737087045944e-04,-2.747252747252915128e-02,2.930402930402919992e-03
5.950360298156738281e-01,1.907377737087045944e-04,3.846153846154010125e-02,2.930402930402919992e-03
6.000361442565917969e-01,1.907377737087045944e-04,5.494505494507251342e-03,2.930402930402919992e-03
6.050364971160888672e-01,1.907377737087045944e-04,5.494505494507251342e-03,8.791208791208759976e-03
6.100366115570068359e-01,1.907377737087045944e-04,5.494505494507251342e-03,2.930402930402919992e-03
6.150367259979248047e-01,1.907377737087045944e-04,7.142857142857295116e-02,8.791208791208759976e-03
6.200373172760009766e-01,1.907377737087045944e-04,3.846153846154010125e-02,8.791208791208759976e-03
6.250374317169189453e-01,1.907377737087045944e-04,-2.747252747252915128e-02,2.930402930402919992e-03
6.300377845764160156e-01,1.907377737087045944e-04,5.494505494507251342e-03,8.791208791208759976e-03
6.350381374359130859e-01,1.907377737087045944e-04,3.846153846154010125e-02,2.930402930402919992e-03
6.400382518768310547e-01,1.907377737087045944e-04,3.846153846154010125e-02,8.791208791208759976e-03
6.450383663177490234e-01,1.907377737087045944e-04,7.142857142857295116e-02,2.930402930402919992e-03
6.500384807586669922e-01,1.907377737087045944e-04,-2.747252747252915128e-02,8.791208791208759976e-03
6.550388336181640625e-01,1.907377737087045944e-04,5.494505494507251342e-03,2.930402930402919992e-03
6.600389480590820312e-01,1.907377737087045944e-04,3.846153846154010125e-02,2.930402930402919992e-03
6.650393009185791016e-01,1.907377737087045944e-04,3.846153846154010125e-02,8.791208791208759976e-03
6.700396537780761719e-01,1.907377737087045944e-04,-2.747252747252915128e-02,2.930402930402919992e-03
6.750400066375732422e-01,5.722133211261137831e-04,7.142857142857295116e-02,2.930402930402919992e-03
6.800401210784912109e-01,1.907377737087045944e-04,3.846153846154010125e-02,8.791208791208759976e-03
6.850404739379882812e-01,1.907377737087045944e-04,-2.747252747252915128e-02,2.930402930402919992e-03
6.900405883789062500e-01,1.907377737087045944e-04,-2.747252747252915128e-02,2.930402930402919992e-03
6.950407028198242188e-01,1.907377737087045944e-04,5.494505494507251342e-03,2.930402930402919992e-03
