time,position,velocity,torque
0.000000000000000000e+00,1.907377737087045944e-04,-8.241758241758390113e-02,8.791208791208759976e-03
5.000352859497070312e-03,5.722133211261137831e-04,1.373626373626386510e-01,3.545787545787550954e-01
1.000046730041503906e-02,1.335164415960932160e-03,1.373626373626386510e-01,4.893772893772894150e-01
1.500082015991210938e-02,2.861066605630568915e-03,3.241758241758248005e-01,6.358974358974354146e-01
2.000141143798828125e-02,5.912870984969842425e-03,7.087912087912080494e-01,5.831501831501828548e-01
2.500152587890625000e-02,6.675822079804660802e-03,1.043956043956058011e-01,6.417582417582412546e-01
3.000187873840332031e-02,6.294346532387251614e-03,-1.263736263736277010e-01,5.479853479853478149e-01
3.500223159790039062e-02,6.294346532387251614e-03,5.494505494507251342e-03,4.014652014652018153e-01
4.000234603881835938e-02,6.675822079804660802e-03,7.142857142857295116e-02,4.307692307692310152e-01
4.500436782836914062e-02,8.201724269474297557e-03,2.582417582417591007e-01,5.421245421245419749e-01
5.000448226928710938e-02,8.964675364309115935e-03,1.703296703296715009e-01,6.476190476190470946e-01
5.500459671020507812e-02,9.727626459143934312e-03,1.043956043956058011e-01,6.945054945054938145e-01
6.000471115112304688e-02,1.049057755397875269e-02,2.582417582417591007e-01,6.945054945054938145e-01
6.500482559204101562e-02,1.201647974364838944e-02,4.560439560439562001e-01,3.663003663003667754e-01
7.000494003295898438e-02,1.239795529106579863e-02,-2.747252747252915128e-02,4.483516483516485351e-01
7.500505447387695312e-02,1.354238193331802620e-02,3.571428571428576504e-01,5.655677655677653348e-01
8.000516891479492188e-02,1.544975967040507214e-02,4.230769230769233502e-01,7.003663003662996545e-01
8.500528335571289062e-02,1.812008850232693646e-02,3.901098901098905003e-01,9.875457875457875900e-01
9.000539779663085938e-02,1.964599069199657322e-02,2.912087912087919506e-01,1.034432234432234310e+00
9.500575065612792969e-02,2.193484397650102835e-02,2.912087912087919506e-01,1.028571428571428470e+00
1.000058650970458984e-01,2.307927061875325592e-02,2.252747252747262507e-01,1.022710622710622630e+00
1.050059795379638672e-01,2.613107499809252943e-02,5.769230769230766498e-01,1.005128205128205110e+00
1.100063323974609375e-01,2.841992828259698456e-02,5.219780219780218999e-01,1.040293040293040150e+00
1.150069236755371094e-01,3.109025711451884888e-02,4.230769230769233502e-01,1.110622710622710230e+00
1.200070381164550781e-01,3.414206149385812239e-02,8.076923076923065992e-01,1.034432234432234310e+00
1.250071525573730469e-01,3.719386587319739590e-02,6.758241758241751995e-01,1.016849816849816790e+00
1.300075054168701172e-01,4.062714579995407860e-02,6.758241758241751995e-01,1.128205128205127750e+00
1.350076198577880859e-01,4.406042572671076130e-02,6.428571428571423496e-01,1.128205128205127750e+00
