time,position,velocity,torque
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.308902689094958327e-01
5.000000000000000104e-03,4.765497543318225095e-03,1.957662470007549560e-01,5.529993768926829700e-01
1.000000000000000021e-02,2.013325714736653380e-02,4.248525162685624634e-01,7.121392770020564811e-01
1.499999999999999944e-02,4.763979405542741880e-02,6.772876923749352462e-01,5.911200355313622756e-01
2.000000000000000042e-02,8.782599991452445798e-02,9.276276023627325618e-01,5.926222208831650740e-01
2.500000000000000139e-02,1.399202305678907965e-01,1.149155165074776219e+00,6.277964042697743441e-01
2.999999999999999889e-02,2.018270943227868652e-01,1.315999347637584860e+00,7.038168489337423006e-01
3.500000000000000333e-02,2.702237340041009905e-01,1.405279739259887029e+00,7.340735134563282083e-01
4.000000000000000083e-02,3.407584939694676129e-01,1.399004754403435857e+00,7.582137321034359001e-01
4.499999999999999833e-02,4.083325199469808320e-01,1.285457470156153414e+00,7.964792893916676775e-01
5.000000000000000278e-02,4.674341633310381550e-01,1.059901906591664167e+00,8.395928468932846167e-01
5.500000000000000028e-02,5.124913578188372565e-01,7.246183294801155084e-01,9.000643934792154077e-01
5.999999999999999778e-02,5.382139337625102549e-01,2.885254094221607057e-01,9.057816036290167183e-01
6.500000000000000222e-02,5.399147297510084043e-01,-2.332270125781453485e-01,9.084105617652200593e-01
7.000000000000000666e-02,5.138161845110520431e-01,-8.194011546853189332e-01,9.521586364491323451e-01
7.499999999999999722e-02,4.573578468902063654e-01,-1.442510723242239168e+00,9.959930842016080366e-01
8.000000000000000167e-02,3.695134192314988297e-01,-2.068690726595756590e+00,1.001112570861218742e+00
8.500000000000000611e-02,2.510991739808220435e-01,-2.658314101524116069e+00,1.025346289208245665e+00
8.999999999999999667e-02,1.050147911632441644e-01,-3.168207981342120227e+00,1.062914154225574226e+00
9.500000000000000111e-02,-6.367836313159329353e-02,-3.555957469029039419e+00,1.066274110654582330e+00
1.000000000000000056e-01,-2.479388365595837085e-01,-3.785813773904477486e+00,1.089940587958436069e+00
1.049999999999999961e-01,-4.392285831571151045e-01,-3.834493834347466823e+00,1.101583355566136957e+00
1.100000000000000006e-01,-6.282349779708836790e-01,-3.694557056970428910e+00,1.121790702488306479e+00
1.150000000000000050e-01,-8.056647106101526568e-01,-3.373765270130887117e+00,1.164029721604640466e+00
1.199999999999999956e-01,-9.629060113255787368e-01,-2.890663338797150761e+00,1.162889840138977782e+00
1.250000000000000000e-01,-1.092414198478385945e+00,-2.268335638109623797e+00,1.167314035239165326e+00
1.300000000000000044e-01,-1.187791673605231857e+00,-1.528813336855515903e+00,1.190699469930141641e+00
1.350000000000000089e-01,-1.243644105601537042e+00,-6.899173705578557358e-01,1.185549347213386229e+00
1.400000000000000133e-01,-1.255355504375564424e+00,2.347940463617265439e-01,1.187482221297197382e+00
1.449999999999999900e-01,-1.218936919014707021e+00,1.233084723271424599e+00,1.221608902280694853e+00
1.499999999999999944e-01,-1.131087956001412431e+00,2.288562373650408599e+00,1.234397702899038274e+00
1.549999999999999989e-01,-9.895802537613067607e-01,3.373469269741588672e+00,1.230846419297487948e+00
1.600000000000000033e-01,-7.940104535142378239e-01,4.441544848575241566e+00,1.247496324006902357e+00
1.650000000000000078e-01,-5.468373975039557688e-01,5.424554392215570786e+00,1.263615145039343801e+00
1.700000000000000122e-01,-2.550769241520915998e-01,6.196929851706279635e+00,1.271698701329752268e+00
1.750000000000000167e-01,6.751748792253245424e-02,6.650602038352875667e+00,1.250812496428138854e+00
1.799999999999999933e-01,4.043478823954179679e-01,6.768293218009962864e+00,1.246977179393383928e+00
1.849999999999999978e-01,7.393275590094072758e-01,6.586638497732510089e+00,1.282429958994392383e+00
1.900000000000000022e-01,1.059314606702418393e+00,6.183947582748721139e+00,1.299232091191457439e+00
1.950000000000000067e-01,1.355662750801714278e+00,5.657417967271038961e+00,1.284374871578541910e+00
2.000000000000000111e-01,1.624127167216796286e+00,5.074354862993168958e+00,1.255079030045588295e+00
2.050000000000000155e-01,1.862695736692191462e+00,4.466129420612031886e+00,1.248373231017327223e+00
2.099999999999999922e-01,2.070907123089746449e+00,3.866920710745818557e+00,1.253918297323692865e+00
2.149999999999999967e-01,2.250081744619890411e+00,3.308591482761932490e+00,1.256847401425827737e+00
2.200000000000000011e-01,2.402730251547905649e+00,2.807614294987247128e+00,1.254310818840380204e+00
2.250000000000000056e-01,2.531898165794661093e+00,2.369668717753345089e+00,1.252144893538829740e+00
2.300000000000000100e-01,2.640732943411854716e+00,1.993755497569981161e+00,1.247051446025319033e+00
2.350000000000000144e-01,2.732230481754209794e+00,1.675224262134732411e+00,1.246662163221561759e+00
2.399999999999999911e-01,2.809105771829223386e+00,1.407744365864297409e+00,1.237791417151435258e+00
2.449999999999999956e-01,2.873740670213376980e+00,1.184461165969826757e+00,1.218847296678891912e+00
2.500000000000000000e-01,2.928174717838001317e+00,9.986076209596234099e-01,1.214572461287671823e+00
2.550000000000000044e-01,2.974117150484215433e+00,8.437564146925777830e-01,1.222889812857857583e+00
2.600000000000000089e-01,3.012965342796997348e+00,7.138580087262732521e-01,1.214911047336868943e+00
2.650000000000000133e-01,3.045822034087045882e+00,6.031505373855510221e-01,1.169680213117315182e+00
2.700000000000000178e-01,3.073505160085292065e+00,5.059658181872684901e-01,1.122573629433125442e+00
2.750000000000000222e-01,3.096546350881535847e+00,4.164723106233212402e-01,1.143490471403593833e+00
2.800000000000000266e-01,3.115175048174922079e+00,3.283546900845421002e-01,1.165931174908894086e+00
