time,position,velocity,torque
0.000000000000000000e+00,1.907377737087045944e-04,9.340659340659485110e-02,-2.930402930402919992e-03
5.000352859497070312e-03,3.242542153047978104e-03,1.093406593406594851e+00,2.335531135531136115e+00
1.000070571899414062e-02,1.354238193331802620e-02,2.401098901098901450e+00,3.296703296703297426e+00
1.500105857849121094e-02,2.002746623941398241e-02,5.439560439560437999e-01,4.715018315018315143e+00
2.000117301940917969e-02,1.773861295490952728e-02,-6.648351648351642496e-01,4.474725274725274815e+00
2.500176429748535156e-02,1.850156404974434565e-02,4.560439560439562001e-01,3.730402930402929584e+00
3.000235557556152344e-02,2.384222171358807429e-02,1.346153846153846700e+00,3.613186813186812785e+00
3.500318527221679688e-02,3.299763485160589482e-02,1.412087912087912400e+00,3.800732600732601441e+00
4.001760482788085938e-02,3.757534142061480509e-02,1.247252747252748151e+00,4.046886446886446720e+00
4.501795768737792969e-02,4.253452353704112454e-02,9.285714285714270488e-01,4.275457875457875367e+00
5.001878738403320312e-02,4.825665674830226237e-02,1.313186813186813851e+00,3.859340659340659840e+00
5.502009391784667969e-02,5.855649652857231047e-02,2.368131868131868600e+00,3.437362637362637585e+00
6.002044677734375000e-02,6.961928740367717694e-02,2.181318681318682451e+00,4.222710622710622808e+00
6.502294540405273438e-02,7.763027389944276990e-02,1.445054945054945250e+00,4.117216117216116800e+00
7.002329826354980469e-02,8.869306477454763638e-02,2.467032967032967150e+00,3.660073260073259505e+00
7.502365112304687500e-02,1.005188067444873212e-01,2.565934065934065700e+00,3.947252747252747440e+00
8.002376556396484375e-02,1.131074998092618245e-01,2.532967032967032850e+00,3.888644688644689040e+00
8.502435684204101562e-02,1.268406195162885552e-01,2.335164835164835750e+00,4.076190476190475920e+00
9.002470970153808594e-02,1.394293125810630585e-01,3.038461538461540101e+00,3.753846153846154721e+00
9.502482414245605469e-02,1.543068589303420168e-01,2.950549450549448949e+00,3.835897435897436480e+00
1.000251770019531250e-01,1.729991607537950671e-01,3.104395604395605801e+00,4.087912087912087600e+00
1.050255298614501953e-01,1.852063782711521611e-01,3.170329670329671501e+00,3.824175824175824800e+00
1.100256443023681641e-01,2.016098268101007562e-01,3.521978021978021900e+00,3.935531135531135760e+00
1.150462627410888672e-01,2.229724574654756708e-01,3.521978021978021900e+00,4.082051282051281760e+00
1.205561161041259766e-01,2.397573815518416751e-01,3.774725274725273749e+00,3.912087912087912400e+00
1.255567073822021484e-01,2.592126344701313201e-01,3.807692307692306599e+00,3.771428571428572241e+00
1.305570602416992188e-01,2.790493629358365979e-01,3.972527472527470849e+00,3.882783882783883200e+00
1.355588436126708984e-01,3.065156023498900595e-01,4.027472527472529151e+00,3.824175824175824800e+00
1.405591964721679688e-01,3.221560997940038362e-01,4.258241758241759101e+00,4.099633699633699280e+00
1.455597877502441406e-01,3.423743038071265232e-01,4.445054945054945250e+00,3.935531135531135760e+00
1.505608558654785156e-01,3.717479209582670308e-01,4.730769230769229949e+00,4.058608058608058400e+00
1.555612087249755859e-01,3.885328450446330351e-01,4.675824175824175200e+00,3.888644688644689040e+00
1.605615615844726562e-01,4.118028534370949956e-01,4.697802197802197099e+00,3.888644688644689040e+00
1.655640602111816406e-01,4.388876173037310480e-01,4.862637362637361349e+00,3.853479853479854000e+00
1.705646514892578125e-01,4.621576256961930085e-01,5.115384615384616751e+00,3.871062271062271520e+00
1.755652427673339844e-01,4.877164873731594241e-01,5.082417582417583901e+00,3.859340659340659840e+00
1.805658340454101562e-01,5.140383001449606581e-01,5.214285714285715301e+00,3.935531135531135760e+00
1.855666637420654297e-01,5.464637216754404392e-01,5.401098901098901450e+00,4.011721611721611680e+00
1.905670166015625000e-01,5.685893034256501721e-01,5.532967032967032850e+00,4.105494505494505120e+00
1.955673694610595703e-01,5.964370183871210429e-01,5.631868131868131400e+00,4.041025641025640880e+00
2.005681991577148438e-01,6.326771953917749158e-01,5.631868131868131400e+00,3.830036630036630640e+00
2.055690288543701172e-01,6.540398260471498304e-01,5.917582417582416099e+00,3.812454212454213121e+00
2.105691432952880859e-01,6.826504921034555196e-01,5.851648351648350399e+00,3.824175824175824800e+00
2.155697345733642578e-01,7.207980468451964384e-01,6.082417582417583901e+00,4.087912087912087600e+00
2.205700874328613281e-01,7.429236285954061714e-01,6.082417582417583901e+00,4.076190476190475920e+00
2.255718708038330078e-01,7.738231479362180920e-01,6.203296703296704351e+00,4.041025641025640880e+00
2.305724620819091797e-01,8.070115205615326914e-01,6.302197802197802901e+00,3.789010989010989761e+00
2.355751991271972656e-01,8.424887464713517460e-01,6.434065934065934300e+00,4.093772893772893440e+00
2.405755519866943359e-01,8.718623636224922535e-01,6.521978021978021900e+00,4.082051282051281760e+00
2.455759048461914062e-01,9.027618829633023978e-01,6.620879120879120450e+00,3.871062271062271520e+00
2.505772113800048828e-01,9.393835355153736799e-01,6.653846153846153300e+00,4.023443223443223360e+00
2.555778026580810547e-01,9.687571526665141874e-01,6.686813186813186149e+00,4.128937728937729368e+00
2.605781555175781250e-01,1.003089951934081014e+00,6.807692307692308376e+00,3.841758241758242320e+00
2.655787467956542969e-01,1.037041275654230432e+00,6.840659340659341225e+00,3.906227106227106560e+00
2.705790996551513672e-01,1.071374074921797259e+00,6.906593406593406925e+00,4.099633699633699280e+00
2.755794525146484375e-01,1.106469825284198905e+00,7.038461538461538325e+00,3.806593406593407281e+00
2.805798053741455078e-01,1.142328526741435368e+00,7.104395604395604025e+00,4.076190476190475920e+00
2.855801582336425781e-01,1.178950179293506650e+00,7.137362637362636875e+00,3.876923076923077360e+00
2.905805110931396484e-01,1.214045929655908296e+00,7.159340659340658775e+00,4.005860805860805840e+00
2.955811023712158203e-01,1.254100862134738037e+00,7.291208791208791951e+00,3.812454212454213121e+00
3.005814552307128906e-01,1.286526283665217818e+00,7.324175824175824800e+00,3.929670329670329920e+00
3.055818080902099609e-01,1.323147936217289100e+00,7.324175824175824800e+00,4.099633699633699280e+00
3.105821609497070312e-01,1.359769588769360382e+00,7.324175824175824800e+00,3.876923076923077360e+00
3.155825138092041016e-01,1.397917143511101301e+00,7.543956043956043800e+00,4.005860805860805840e+00
3.205828666687011719e-01,1.434920271610589992e+00,7.510989010989010950e+00,3.900366300366300720e+00
3.255832195281982422e-01,1.473067826352330911e+00,7.708791208791208049e+00,4.070329670329670080e+00
3.305838108062744141e-01,1.511596856641489239e+00,7.642857142857142350e+00,3.941391941391941600e+00
3.355841636657714844e-01,1.550888838025482386e+00,7.708791208791208049e+00,3.906227106227106560e+00
3.405845165252685547e-01,1.588654917219805895e+00,7.807692307692308376e+00,4.052747252747252560e+00
3.455855846405029297e-01,1.636720836194399453e+00,7.807692307692308376e+00,4.000000000000000000e+00
3.505859375000000000e-01,1.667620355535209598e+00,7.994505494505494525e+00,4.111355311355310960e+00
3.563725948333740234e-01,1.712634470130463882e+00,7.961538461538461675e+00,3.970695970695970800e+00
3.613731861114501953e-01,1.756885633630885124e+00,7.928571428571428825e+00,3.730402930402929584e+00
3.663735389709472656e-01,1.792744335088121588e+00,7.741758241758240899e+00,3.413919413919414225e+00
3.713738918304443359e-01,1.831273365377279916e+00,7.609890109890109500e+00,2.540659340659340515e+00
3.763742446899414062e-01,1.870183871213855653e+00,7.774725274725275526e+00,1.983882783882783940e+00
3.813745975494384766e-01,1.909475852597848800e+00,7.840659340659341225e+00,1.374358974358974805e+00
3.863749504089355469e-01,1.954489967193103084e+00,7.609890109890109500e+00,8.937728937728941503e-01
3.913753032684326172e-01,1.986915388723582865e+00,7.609890109890109500e+00,5.245421245421244549e-01
3.963756561279296875e-01,2.023918516823071556e+00,7.489010989010989050e+00,6.739926739926715982e-02
4.013760089874267578e-01,2.060540169375142838e+00,6.939560439560439775e+00,-2.608058608058616556e-01
4.063766002655029297e-01,2.091821164263370392e+00,6.368131868131868600e+00,-7.413919413919405343e-01
4.113771915435791016e-01,2.124246585793850173e+00,6.170329670329671501e+00,-1.362637362637363125e+00
4.163777828216552734e-01,2.157816433966582181e+00,7.104395604395604025e+00,-2.048351648351648180e+00
4.213783740997314453e-01,2.192912184328983827e+00,7.423076923076923350e+00,-2.247619047619046739e+00
4.263787269592285156e-01,2.228007934691385472e+00,6.686813186813186149e+00,-1.831501831501832100e+00
4.313790798187255859e-01,2.263103685053788894e+00,5.884615384615383249e+00,-2.194871794871794179e+00
4.363796710968017578e-01,2.292095826657511992e+00,5.884615384615383249e+00,-2.915750915750916050e+00
4.413802623748779297e-01,2.318417639429313226e+00,6.016483516483518201e+00,-3.232234432234431409e+00
4.463803768157958984e-01,2.347028305485618915e+00,5.752747252747251849e+00,-3.126739926739926290e+00
4.513807296752929688e-01,2.379072251468681287e+00,5.280219780219781001e+00,-2.986080586080586130e+00
4.563808441162109375e-01,2.399671931029221383e+00,5.082417582417583901e+00,-3.085714285714285410e+00
4.613809585571289062e-01,2.423704890516518162e+00,4.796703296703295649e+00,-3.243956043956043089e+00
4.663817882537841797e-01,2.453841458762493488e+00,4.763736263736262799e+00,-3.214652014652013889e+00
4.713819026947021484e-01,2.470626382848859492e+00,4.357142857142857650e+00,-3.343589743589744145e+00
4.763822555541992188e-01,2.490463111314564770e+00,3.840659340659339449e+00,-3.583882783882783585e+00
4.813833236694335938e-01,2.510299839780270048e+00,3.939560439560437999e+00,-3.449084249084249265e+00
4.863846302032470703e-01,2.533569848172732009e+00,3.807692307692306599e+00,-3.062271062271062050e+00
4.913849830627441406e-01,2.547684443427176149e+00,3.489010989010989050e+00,-2.745787545787544914e+00
4.963853359222412109e-01,2.563706416418707335e+00,2.950549450549448949e+00,-2.804395604395605091e+00
5.013859272003173828e-01,2.581254291599908157e+00,2.950549450549448949e+00,-2.552380952380952195e+00
5.063862800598144531e-01,2.593080033569847842e+00,2.917582417582416099e+00,-2.523076923076922995e+00
5.113863945007324219e-01,2.606431677729457164e+00,2.598901098901098550e+00,-1.989743589743589780e+00
5.163881778717041016e-01,2.622453650720988350e+00,2.335164835164835750e+00,-1.755311355311356181e+00
5.213885307312011719e-01,2.630464637216753943e+00,2.247252747252748151e+00,-1.620512820512820085e+00
5.263886451721191406e-01,2.641145952544441400e+00,2.247252747252748151e+00,-1.591208791208790885e+00
5.313892364501953125e-01,2.652971694514381085e+00,2.269230769230770051e+00,-1.075457875457875190e+00
5.363907814025878906e-01,2.663271534294651133e+00,1.631868131868131400e+00,-8.175824175824182305e-01
5.413911342620849609e-01,2.670138094148164498e+00,1.565934065934065700e+00,-7.355311355311346944e-01
5.463917255401611328e-01,2.678530556191347500e+00,1.730769230769229949e+00,-6.183150183150178947e-01
5.513920783996582031e-01,2.687304493781947912e+00,1.631868131868131400e+00,-4.366300366300368552e-01
5.563924312591552734e-01,2.694552529182878686e+00,1.576923076923076650e+00,-1.904761904761897995e-01
5.613927841186523438e-01,2.702563515678644279e+00,1.565934065934065700e+00,-1.465201465201459996e-02
5.664014816284179688e-01,2.709811551079575054e+00,1.346153846153846700e+00,1.494505494505489196e-01
5.714018344879150391e-01,2.716296635385671010e+00,1.346153846153846700e+00,2.666666666666674956e-01
5.764021873474121094e-01,2.722781719691766966e+00,1.412087912087912400e+00,3.018315018315025355e-01
5.814025402069091797e-01,2.731174181734949968e+00,1.697802197802197099e+00,3.721611721611726153e-01
5.864038467407226562e-01,2.741092545967802607e+00,1.247252747252748151e+00,6.593406593406587746e-01
5.914044380187988281e-01,2.744525825894559290e+00,8.956043956043941989e-01,7.531135531135539907e-01
5.964047908782958984e-01,2.749103532463568200e+00,8.406593406593394491e-01,6.124542124542120547e-01
6.014051437377929688e-01,2.755588616769665933e+00,1.313186813186813851e+00,5.772893772893770148e-01
6.064052581787109375e-01,2.760547798886092252e+00,1.159340659340660551e+00,7.355311355311346944e-01
6.114056110382080078e-01,2.765888456549935981e+00,9.945054945054927487e-01,8.351648351648357504e-01
6.164073944091796875e-01,2.771610589761197119e+00,1.093406593406594851e+00,7.003663003662996545e-01
6.214077472686767578e-01,2.775806820782788620e+00,1.247252747252748151e+00,6.886446886446879745e-01
6.264081001281738281e-01,2.781147478446632348e+00,1.060439560439562001e+00,7.882783882783890306e-01
6.314084529876708984e-01,2.786106660563058668e+00,8.956043956043941989e-01,8.937728937728941503e-01
6.364090442657470703e-01,2.791065842679484987e+00,8.956043956043941989e-01,7.413919413919405343e-01
6.414093971252441406e-01,2.795262073701076488e+00,9.945054945054927487e-01,6.652014652014646146e-01
6.464099884033203125e-01,2.800221255817502808e+00,9.945054945054927487e-01,7.472527472527463743e-01
6.514115333557128906e-01,2.805561913481346537e+00,8.956043956043941989e-01,8.644688644688649504e-01
6.564118862152099609e-01,2.808995193408103219e+00,6.758241758241751995e-01,8.820512820512824703e-01
6.614122390747070312e-01,2.813191424429694720e+00,7.747252747252737493e-01,7.062271062271054944e-01
6.664135456085205078e-01,2.818150606546121040e+00,9.945054945054927487e-01,6.300366300366295746e-01
6.714136600494384766e-01,2.822728313115129950e+00,1.093406593406594851e+00,6.241758241758237347e-01
6.764137744903564453e-01,2.827306019684138860e+00,8.736263736263722990e-01,7.120879120879113344e-01
6.814141273498535156e-01,2.831120775158312952e+00,8.736263736263722990e-01,6.769230769230762945e-01
6.864266395568847656e-01,2.836079957274739272e+00,8.406593406593394491e-01,6.300366300366295746e-01
6.914269924163818359e-01,2.839131761654078545e+00,9.945054945054927487e-01,5.772893772893770148e-01
6.964273452758789062e-01,2.843327992675670046e+00,8.736263736263722990e-01,5.245421245421244549e-01
7.014276981353759766e-01,2.847142748149844138e+00,8.736263736263722990e-01,4.893772893772894150e-01
7.064278125762939453e-01,2.850957503624018230e+00,7.747252747252737493e-01,4.952380952380952550e-01
7.114279270172119141e-01,2.854390783550774913e+00,6.758241758241751995e-01,4.717948717948718951e-01
7.164285182952880859e-01,2.859731441214618641e+00,7.417582417582408993e-01,4.131868131868134952e-01
7.214286327362060547e-01,2.860875867856870869e+00,6.428571428571423496e-01,3.838827838827842953e-01
7.264287471771240234e-01,2.864690623331044961e+00,6.758241758241751995e-01,3.311355311355317355e-01
7.314293384552001953e-01,2.867360952162966825e+00,6.098901098901094997e-01,3.076923076923083755e-01
7.364299297332763672e-01,2.870412756542306099e+00,6.758241758241751995e-01,2.725274725274733356e-01
7.414307594299316406e-01,2.874227512016480190e+00,6.758241758241751995e-01,2.842490842490850156e-01
7.464311122894287109e-01,2.876897840848402055e+00,6.098901098901094997e-01,3.135531135531142155e-01
7.514317035675048828e-01,2.879568169680323919e+00,5.219780219780218999e-01,3.369963369963375754e-01
7.564320564270019531e-01,2.881475547417410965e+00,4.560439560439562001e-01,3.369963369963375754e-01
7.614326477050781250e-01,2.884527351796750239e+00,5.219780219780218999e-01,3.252747252747258955e-01
7.664351463317871094e-01,2.886816205081254694e+00,5.219780219780218999e-01,3.545787545787550954e-01
7.714354991912841797e-01,2.889105058365759149e+00,4.560439560439562001e-01,3.956043956043959753e-01
7.764358520507812500e-01,2.890630960555428786e+00,2.912087912087919506e-01,4.190476190476193352e-01
7.814362049102783203e-01,2.892538338292515832e+00,5.219780219780218999e-01,3.663003663003667754e-01
7.864365577697753906e-01,2.895208667124437696e+00,4.890109890109890500e-01,3.780219780219784553e-01
7.914371490478515625e-01,2.897116044861524742e+00,3.901098901098905003e-01,4.249084249084251752e-01
7.999429702758789062e-01,2.899404898146029197e+00,1.923076923076934008e-01,4.542124542124543751e-01
8.049433231353759766e-01,2.901693751430533652e+00,4.890109890109890500e-01,4.073260073260076553e-01
8.099436759948730469e-01,2.903219653620203289e+00,2.252747252747262507e-01,5.010989010989010950e-01
8.149440288543701172e-01,2.904745555809872926e+00,3.241758241758248005e-01,5.245421245421244549e-01
8.199443817138671875e-01,2.905889982452125153e+00,3.901098901098905003e-01,5.010989010989010950e-01
8.249449729919433594e-01,2.907415884641794790e+00,2.252747252747262507e-01,5.714285714285711748e-01
8.299462795257568359e-01,2.908178835736629608e+00,2.252747252747262507e-01,5.304029304029302949e-01
8.361253738403320312e-01,2.910467689021134063e+00,3.571428571428576504e-01,5.597069597069594948e-01
