time,position,velocity,torque
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.500000000000000000e+00
5.000000000000000104e-03,-7.376970420778913504e-03,-2.842907533882268467e-01,-6.452662521567399390e-01
1.000000000000000021e-02,-2.699690386356711283e-02,-4.830075071172824086e-01,-7.092488174636764064e-01
1.499999999999999944e-02,-5.375382906300276570e-02,-5.666497918641504317e-01,-3.911201381733513949e-01
2.000000000000000042e-02,-8.152863953826010313e-02,-5.226463407301746855e-01,-4.189358758457836229e-01
2.500000000000000139e-02,-1.038870433630720569e-01,-3.510598790882532017e-01,-6.090259298699013391e-01
2.999999999999999889e-02,-1.147176511856883019e-01,-6.467952588987387064e-02,-6.907801068517568366e-01
3.500000000000000333e-02,-1.088500395771135054e-01,3.118722125009228963e-01,-6.900910679084540922e-01
4.000000000000000083e-02,-8.260627884650013908e-02,7.438603786123501038e-01,-6.432199602168584551e-01
4.499999999999999833e-02,-3.424813310408753725e-02,1.188914600123368803e+00,-6.661144422764792017e-01
5.000000000000000278e-02,3.571891082985086813e-02,1.600246898707524013e+00,-7.357368731579920773e-01
5.500000000000000028e-02,1.244220108590251422e-01,1.930704196048248722e+00,-7.253606697447225748e-01
5.999999999999999778e-02,2.267196216999350644e-01,2.137495168525518352e+00,-7.291210659637221703e-01
6.500000000000000222e-02,3.355367012594931975e-01,2.186766753385796402e+00,-7.787269668114565890e-01
7.000000000000000666e-02,4.424068074046955679e-01,2.057199012147923334e+00,-7.616279086450485902e-01
7.499999999999999722e-02,5.381453301619433249e-01,1.741362256669409803e+00,-7.088304732045335177e-01
8.000000000000000167e-02,6.135297773044987579e-01,1.244979112949231803e+00,-6.723906092527867084e-01
8.500000000000000611e-02,6.599114689347838070e-01,5.848154187122870384e-01,-6.678235312658492573e-01
8.999999999999999667e-02,6.697128723839206321e-01,-2.131735429036179241e-01,-6.705072111346670471e-01
9.500000000000000111e-02,6.368824118706958304e-01,-1.113749788281461095e+00,-6.662252092796343561e-01
1.000000000000000056e-01,5.573983544977820781e-01,-2.070535826227425158e+00,-6.177918251087184398e-01
1.049999999999999961e-01,4.298915336037074097e-01,-3.023453702224541129e+00,-6.043647370840414812e-01
1.100000000000000006e-01,2.563684649946737504e-01,-3.897635436262222974e+00,-5.438856463045739220e-01
1.150000000000000050e-01,4.377487837371675516e-02,-4.554273688129672593e+00,-4.993438568973216918e-01
1.199999999999999956e-01,-1.937521067368241645e-01,-4.893879990887124443e+00,-5.264003422369767371e-01
1.250000000000000000e-01,-4.404826065845959815e-01,-4.927097206055062628e+00,-4.993109050562080653e-01
1.300000000000000044e-01,-6.820713395346945651e-01,-4.697880137219635266e+00,-4.695302326445893737e-01
1.350000000000000089e-01,-9.070109208877685791e-01,-4.273351804849282232e+00,-4.291846770133087574e-01
1.400000000000000133e-01,-1.106710290231939453e+00,-3.686993330213337305e+00,-4.240126434625098306e-01
1.449999999999999900e-01,-1.272792688545872020e+00,-2.925160732044457923e+00,-3.855535498790730320e-01
1.499999999999999944e-01,-1.396386647756401755e+00,-1.992132152232266584e+00,-3.413960354747248571e-01
1.549999999999999989e-01,-1.469509888988215218e+00,-9.086277649544618473e-01,-2.992641768342250708e-01
1.600000000000000033e-01,-1.484868850922038686e+00,3.180673185057224517e-01,-3.048013410732242079e-01
1.650000000000000078e-01,-1.435314415237559427e+00,1.687883951084063305e+00,-2.777278701927011206e-01
1.700000000000000122e-01,-1.313783567939840635e+00,3.194589423747307144e+00,-2.279123516238272806e-01
1.750000000000000167e-01,-1.115031396855160395e+00,4.749511317336953198e+00,-1.843292338213023129e-01
1.799999999999999933e-01,-8.415855446760560632e-01,6.138273090241336050e+00,-1.758437257866206915e-01
1.849999999999999978e-01,-5.070644278683812400e-01,7.175274401330355545e+00,-1.583555093627516952e-01
1.900000000000000022e-01,-1.315572325648683982e-01,7.764539792864006529e+00,-1.300866944289371663e-01
1.950000000000000067e-01,2.611233264924093245e-01,7.861784236154448990e+00,-9.871572046078183615e-02
2.000000000000000111e-01,6.471140811518367730e-01,7.512161585881934833e+00,-1.056444675605174993e-01
2.050000000000000155e-01,1.006967967515751683e+00,6.841612342390135382e+00,-8.669013335819598931e-02
2.099999999999999922e-01,1.328584042237227480e+00,6.008720632758079994e+00,-5.802453585679015480e-02
2.149999999999999967e-01,1.607512100943526034e+00,5.154226629498072754e+00,-5.080683685570831082e-02
2.200000000000000011e-01,1.845298729159534856e+00,4.375373918716184640e+00,-4.276483389654204409e-02
2.250000000000000056e-01,2.047221376620449895e+00,3.725501861251911961e+00,-4.227327922746344779e-02
2.300000000000000100e-01,2.220368501052417454e+00,3.226057448653886883e+00,6.451587538810008710e-04
2.350000000000000144e-01,2.371633750492368353e+00,2.834922744880106649e+00,5.633676563404604182e-02
2.399999999999999911e-01,2.504543995724777261e+00,2.484619099160286559e+00,8.655756840157044496e-02
2.449999999999999956e-01,2.620517324847268181e+00,2.159355693137678056e+00,9.951733995742087502e-02
2.500000000000000000e-01,2.721028492048306990e+00,1.866900138287748590e+00,1.529531053909929383e-01
2.550000000000000044e-01,2.807788169294928693e+00,1.609256780446356005e+00,2.014306759674480141e-01
2.600000000000000089e-01,2.882500172554019802e+00,1.384390185431281894e+00,2.322078024931172879e-01
2.650000000000000133e-01,2.946690049498736474e+00,1.187339441834392550e+00,2.683143175162509553e-01
2.700000000000000178e-01,3.001574724890136103e+00,1.010777955606148026e+00,3.175035892906484247e-01
2.750000000000000222e-01,3.047947581500399128e+00,8.450492547293099177e-01,3.750994797752166265e-01
2.800000000000000266e-01,3.086052572809763195e+00,6.777305900969918806e-01,4.053182976282027616e-01
2.850000000000000311e-01,3.115426816935878751e+00,4.927948569308455706e-01,3.934834401932784664e-01
2.899999999999999800e-01,3.134688913521646914e+00,2.692516768245470926e-01,4.140699627176271935e-01
2.949999999999999845e-01,3.141592653589793116e+00,-1.734723475976807094e-18,4.619559875357206469e-01
2.999999999999999889e-01,3.141592653589793116e+00,-1.734723475976807094e-18,4.944017498074583239e-01
3.049999999999999933e-01,3.141592653589793116e+00,-1.734723475976807094e-18,5.082626747200614803e-01
