time,position,velocity,torque
0.000000000000000000e+00,4.768444342717614859e-03,3.846153846154010125e-02,8.791208791208759976e-03
5.000352859497070312e-03,2.861066605630568915e-03,-5.329670329670328499e-01,-1.010989010989010950e+00
1.132464408874511719e-02,-1.716639963378341349e-03,-2.802197802197810006e-01,-8.937728937728941503e-01
1.632523536682128906e-02,-5.722133211261137831e-04,2.912087912087919506e-01,-8.234432234432240705e-01
2.132582664489746094e-02,5.722133211261137831e-04,1.373626373626386510e-01,-4.014652014652018153e-01
2.632617950439453125e-02,-1.907377737087045944e-04,-1.813186813186824509e-01,-3.663003663003667754e-01
3.132677078247070312e-02,-1.716639963378341349e-03,-4.780219780219781001e-01,-5.421245421245419749e-01
3.632760047912597656e-02,-4.005493247882796481e-03,-2.142857142857153008e-01,-7.120879120879113344e-01
4.132866859436035156e-02,-4.005493247882796481e-03,3.846153846154010125e-02,-7.120879120879113344e-01
4.632925987243652344e-02,-4.768444342717614859e-03,-2.472527472527481507e-01,-6.065934065934062147e-01
5.531287193298339844e-02,-7.820248722056888369e-03,-2.142857142857153008e-01,-6.710622710622704545e-01
6.031322479248046875e-02,-8.583199816891706746e-03,-9.340659340659485110e-02,-7.472527472527463743e-01
6.739950180053710938e-02,-1.163500419623098026e-02,-5.329670329670328499e-01,-6.710622710622704545e-01
7.240080833435058594e-02,-1.354238193331802620e-02,-3.131868131868138505e-01,-7.355311355311346944e-01
7.740211486816406250e-02,-1.506828412298766295e-02,-3.131868131868138505e-01,-7.706959706959715106e-01
8.240246772766113281e-02,-1.659418631265729971e-02,-2.802197802197810006e-01,-7.531135531135539907e-01
8.740282058715820312e-02,-1.888303959716175484e-02,-5.329670329670328499e-01,-6.476190476190470946e-01
9.240341186523437500e-02,-2.079041733424880078e-02,-2.802197802197810006e-01,-7.062271062271054944e-01
9.740352630615234375e-02,-2.307927061875325592e-02,-4.450549450549452501e-01,-6.945054945054938145e-01
1.024038791656494141e-01,-2.498664835584030186e-02,-3.131868131868138505e-01,-6.827838827838821345e-01
1.075499057769775391e-01,-2.803845273517957537e-02,-7.307692307692299494e-01,-6.241758241758237347e-01
1.125595569610595703e-01,-3.070878156710143969e-02,-5.109890109890109500e-01,-6.300366300366295746e-01
1.175601482391357422e-01,-3.261615930418848563e-02,-3.131868131868138505e-01,-6.183150183150178947e-01
1.225607395172119141e-01,-3.414206149385812239e-02,-4.120879120879124002e-01,-5.304029304029302949e-01
1.275622844696044922e-01,-3.795681696803221428e-02,-5.109890109890109500e-01,-4.659340659340660551e-01
1.325626373291015625e-01,-4.062714579995407860e-02,-5.659340659340656998e-01,-5.128205128205127750e-01
1.375641822814941406e-01,-4.329747463187594292e-02,-5.109890109890109500e-01,-5.069597069597069350e-01
1.425645351409912109e-01,-4.558632791638039805e-02,-4.780219780219781001e-01,-4.600732600732602151e-01
1.475648880004882812e-01,-4.863813229571967156e-02,-7.307692307692299494e-01,-4.307692307692310152e-01
1.525654792785644531e-01,-5.092698558022412669e-02,-5.109890109890109500e-01,-4.249084249084251752e-01
1.575658321380615234e-01,-5.397878995956340020e-02,-4.780219780219781001e-01,-3.897435897435901353e-01
1.625669002532958984e-01,-5.703059433890267371e-02,-5.989010989010985497e-01,-3.428571428571434154e-01
1.675674915313720703e-01,-5.931944762340712884e-02,-5.109890109890109500e-01,-3.018315018315025355e-01
1.725683212280273438e-01,-6.275272755016381154e-02,-5.659340659340656998e-01,-2.842490842490850156e-01
1.775689125061035156e-01,-6.580453192950308505e-02,-4.120879120879124002e-01,-2.842490842490850156e-01
1.825690269470214844e-01,-6.771190966659013100e-02,-4.780219780219781001e-01,-2.490842490842481993e-01
1.875693798065185547e-01,-7.038223849851199532e-02,-4.780219780219781001e-01,-1.963369963369956395e-01
1.925706863403320312e-01,-7.343404287785126883e-02,-5.329670329670328499e-01,-1.787545787545781195e-01
1.975712776184082031e-01,-7.534142061493831477e-02,-3.791208791208795503e-01,-1.787545787545781195e-01
2.025718688964843750e-01,-7.763027389944276990e-02,-3.791208791208795503e-01,-1.260073260073255597e-01
2.075722217559814453e-01,-7.991912718394722503e-02,-4.450549450549452501e-01,-1.142857142857138797e-01
2.125732898712158203e-01,-8.182650492103427098e-02,-3.791208791208795503e-01,-1.025641025641021997e-01
