time,position,velocity,torque
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.598937633416000370e-01
7.499999999999999722e-03,5.098499089235340731e-03,2.106594584206308018e-01,6.050003078085423036e-01
1.499999999999999944e-02,2.179310136863045130e-02,4.648506865968501933e-01,7.962164412582040107e-01
2.249999999999999917e-02,5.212797531491512870e-02,7.516812906487002621e-01,6.622220741214882578e-01
2.999999999999999889e-02,9.701677228546318199e-02,1.041888160835460653e+00,5.335235608032945498e-01
3.749999999999999861e-02,1.558516314415711035e-01,1.304302130300567075e+00,5.977773562434994803e-01
4.499999999999999833e-02,2.264721671426926652e-01,1.508413160960117017e+00,7.023376863353059107e-01
5.249999999999999806e-02,3.052639817670237954e-01,1.627025888469239678e+00,7.898014015881660299e-01
5.999999999999999778e-02,3.873872197689827712e-01,1.638651258612932038e+00,8.669751650763420914e-01
6.750000000000000444e-02,4.671065657021589157e-01,1.529178878185600610e+00,9.251064855212188798e-01
7.499999999999999722e-02,5.381832601782454706e-01,1.292610340834811966e+00,9.866127642065779524e-01
8.249999999999999001e-02,5.942789750193132603e-01,9.308855239987087193e-01,1.058102674741056237e+00
8.999999999999999667e-02,6.293370548910177664e-01,4.531918038105490210e-01,1.051542711707326827e+00
9.750000000000000333e-02,6.379256015448705464e-01,-1.247573382846813433e-01,1.111925922202591677e+00
1.049999999999999961e-01,6.155559151859423261e-01,-7.809234813143810516e-01,1.196182707836130676e+00
1.124999999999999889e-01,5.590072072965601713e-01,-1.486524901218860606e+00,1.257734006258137471e+00
1.199999999999999956e-01,4.666821837444453669e-01,-2.205281063271999464e+00,1.265246876842821777e+00
1.275000000000000022e-01,3.389911947190729635e-01,-2.893276185526465039e+00,1.229520264165837373e+00
1.350000000000000089e-01,1.786969954601233534e-01,-3.500884918197685991e+00,1.236633860683516994e+00
1.424999999999999878e-01,-8.729130747701582815e-03,-3.966903197528605318e+00,1.268699789951104995e+00
1.499999999999999944e-01,-2.147426191239530380e-01,-4.238641219367584867e+00,1.257204911805025471e+00
1.575000000000000011e-01,-4.291246435824059291e-01,-4.303077763677062961e+00,1.213288750321266374e+00
1.649999999999999800e-01,-6.418828879904614482e-01,-4.178119141002770931e+00,1.236831339365815463e+00
1.724999999999999867e-01,-8.439127448871055481e-01,-3.872172052435916001e+00,1.226653410347852580e+00
1.799999999999999933e-01,-1.026211295572164728e+00,-3.392946437206093346e+00,1.162556091300323668e+00
1.875000000000000000e-01,-1.180786319599902212e+00,-2.768185290855648795e+00,1.098198030338587206e+00
1.950000000000000067e-01,-1.301072236972550256e+00,-2.025535821133439995e+00,1.077898346830966414e+00
2.024999999999999856e-01,-1.381731804389473739e+00,-1.185972763274341757e+00,1.040843842019853804e+00
2.099999999999999922e-01,-1.418279539644442089e+00,-2.627212355043269110e-01,1.031623663940947067e+00
2.174999999999999989e-01,-1.406740532272748423e+00,7.363918732600961414e-01,9.598720048211016875e-01
2.249999999999999778e-01,-1.343497532278008944e+00,1.803831768078136388e+00,9.191578136731856086e-01
2.324999999999999845e-01,-1.225453555268464223e+00,2.924922062753533059e+00,9.476089603656735472e-01
2.399999999999999911e-01,-1.050610005439066796e+00,4.068871270457512956e+00,8.915711913836108504e-01
2.474999999999999978e-01,-8.191883033071455378e-01,5.174636447036889741e+00,8.675545044895742741e-01
2.550000000000000044e-01,-5.358763878614211107e-01,6.116391001606098499e+00,8.546924342200256097e-01
2.625000000000000111e-01,-2.123063257296123607e-01,6.773557382845123875e+00,8.431981680849378602e-01
2.700000000000000178e-01,1.358134337526706592e-01,7.092786347788048396e+00,8.219235763656491667e-01
2.774999999999999689e-01,4.911860099488162268e-01,7.067284007620994402e+00,8.499551354767957978e-01
2.849999999999999756e-01,8.375858701701550668e-01,6.746211611207431957e+00,8.369510497433274576e-01
2.924999999999999822e-01,1.162381005352904895e+00,6.220088071748273606e+00,8.283964150483462685e-01
2.999999999999999889e-01,1.457910413372395242e+00,5.592333867968196870e+00,8.682120417837075887e-01
3.074999999999999956e-01,1.721304777515169304e+00,4.944945579787073164e+00,8.447480469970939376e-01
3.150000000000000022e-01,1.952598134246675166e+00,4.308107577804656252e+00,8.531557508706782977e-01
3.225000000000000089e-01,2.152587030194347051e+00,3.698613953059350035e+00,8.293597225910626092e-01
3.299999999999999600e-01,2.323360650244395753e+00,3.142524029994429924e+00,8.396089818278071881e-01
3.374999999999999667e-01,2.467930114228383598e+00,2.651476315040624421e+00,8.535522313309660269e-01
3.449999999999999734e-01,2.589629825604743640e+00,2.227520322951100251e+00,8.500641096178375156e-01
3.524999999999999800e-01,2.691743907603079577e+00,1.867197099995331122e+00,8.229130030477359581e-01
3.599999999999999867e-01,2.777306739634797683e+00,1.564307752030383192e+00,8.230685834117630328e-01
3.674999999999999933e-01,2.849009805640281723e+00,1.311565540424704190e+00,7.999830683973714329e-01
3.750000000000000000e-01,2.909173268299448889e+00,1.101477623312715259e+00,7.981513647475072526e-01
3.825000000000000067e-01,2.959747017580880879e+00,9.268152868096770636e-01,7.436632337632020917e-01
3.900000000000000133e-01,3.002330259407785196e+00,7.807354799470610507e-01,7.497422650740187544e-01
3.974999999999999645e-01,3.038187792416192856e+00,6.567361272465183086e-01,7.671478223440927335e-01
4.049999999999999711e-01,3.068266130330835395e+00,5.485096442073508216e-01,7.544256804540485639e-01
4.124999999999999778e-01,3.093193611619217354e+00,4.496008957791277072e-01,7.332073469691425815e-01
4.199999999999999845e-01,3.113266260973829080e+00,3.531089478344593413e-01,7.046312339650786516e-01
4.274999999999999911e-01,3.128415049004370285e+00,2.512502371619363406e-01,6.971430797888970021e-01
4.349999999999999978e-01,3.138149035875978932e+00,1.348412866748577021e-01,6.799578680132113417e-01
4.425000000000000044e-01,3.141592653589792672e+00,1.084202172485504434e-18,6.701951166680851779e-01
4.499999999999999556e-01,3.141592653589792672e+00,1.084202172485504434e-18,6.337078245020245637e-01
4.574999999999999623e-01,3.141592653589792672e+00,1.084202172485504434e-18,6.664672739634448506e-01
4.649999999999999689e-01,3.141592653589792672e+00,1.084202172485504434e-18,6.168184857585969905e-01
4.724999999999999756e-01,3.141592653589792672e+00,1.084202172485504434e-18,6.466888172422599057e-01
4.799999999999999822e-01,3.141592653589792672e+00,1.084202172485504434e-18,6.239622688105774806e-01
