time,position,velocity,torque
0.000000000000000000e+00,1.907377737087045944e-04,-9.340659340659485110e-02,2.930402930402919992e-03
7.500410079956054688e-03,9.536888685435229718e-04,1.703296703296715009e-01,4.014652014652018153e-01
1.500105857849121094e-02,3.624017700465387293e-03,4.230769230769233502e-01,5.362637362637361349e-01
2.250170707702636719e-02,6.675822079804660802e-03,1.923076923076934008e-01,5.304029304029302949e-01
3.000330924987792969e-02,7.057297627222069991e-03,7.142857142857295116e-02,6.534798534798529346e-01
3.750371932983398438e-02,7.438773174639479180e-03,1.043956043956058011e-01,5.421245421245419749e-01
4.500460624694824219e-02,8.583199816891706746e-03,1.703296703296715009e-01,5.714285714285711748e-01
5.250501632690429688e-02,1.010910200656134350e-02,2.912087912087919506e-01,6.534798534798529346e-01
6.000566482543945312e-02,1.201647974364838944e-02,3.901098901098905003e-01,7.355311355311346944e-01
6.750607490539550781e-02,1.430533302815284458e-02,2.252747252747262507e-01,8.586080586080591104e-01
7.591009140014648438e-02,1.812008850232693646e-02,6.098901098901094997e-01,9.347985347985350302e-01
8.341050148010253906e-02,2.040894178683139160e-02,3.571428571428576504e-01,9.758241758241759101e-01
9.091114997863769531e-02,2.384222171358807429e-02,3.901098901098905003e-01,1.034432234432234310e+00
9.841394424438476562e-02,2.803845273517957537e-02,3.571428571428576504e-01,1.075457875457875190e+00
1.059145927429199219e-01,3.185320820935366726e-02,5.219780219780218999e-01,1.063736263736263510e+00
1.134150028228759766e-01,3.795681696803221428e-02,9.285714285714270488e-01,1.081318681318681030e+00
1.209156513214111328e-01,4.329747463187594292e-02,7.087912087912080494e-01,1.292307692307693046e+00
1.284165382385253906e-01,4.863813229571967156e-02,6.098901098901094997e-01,1.298168498168498886e+00
1.359174251556396484e-01,5.512321660181562777e-02,9.945054945054927487e-01,1.192673992673991989e+00
1.434183120727539062e-01,6.237125200274640235e-02,9.945054945054927487e-01,1.128205128205127750e+00
1.509196758270263672e-01,7.038223849851199532e-02,9.945054945054927487e-01,1.274725274725275526e+00
1.584203243255615234e-01,7.686732280460795153e-02,8.956043956043941989e-01,1.345054945054945605e+00
1.659207344055175781e-01,8.525978484779095368e-02,1.247252747252748151e+00,1.093040293040292710e+00
1.734211444854736328e-01,9.517814908064359258e-02,1.313186813186813851e+00,1.221978021978021189e+00
1.809225082397460938e-01,1.035706111238265947e-01,1.093406593406594851e+00,1.274725274725275526e+00
1.884229183197021484e-01,1.134889753566792336e-01,1.543956043956043800e+00,9.699633699633700701e-01
1.959233283996582031e-01,1.245517662317841001e-01,1.247252747252748151e+00,1.286446886446887206e+00
2.034242153167724609e-01,1.329442282749671023e-01,1.313186813186813851e+00,1.028571428571428470e+00
2.109255790710449219e-01,1.466773479819938331e-01,1.730769230769229949e+00,9.816849816849817500e-01
2.184262275695800781e-01,1.558327611200116536e-01,1.159340659340660551e+00,1.145787545787545270e+00
2.259268760681152344e-01,1.665140764476991109e-01,1.664835164835164250e+00,8.058608058608065505e-01
2.334272861480712891e-01,1.791027695124736141e-01,1.445054945054945250e+00,1.075457875457875190e+00
2.409276962280273438e-01,1.897840848401610714e-01,1.543956043956043800e+00,8.293040293040299105e-01
2.484285831451416016e-01,2.027542534523529838e-01,1.730769230769229949e+00,9.641025641025642301e-01
2.559292316436767578e-01,2.130540932326230319e-01,1.412087912087912400e+00,8.175824175824182305e-01
2.634298801422119141e-01,2.264057373922323535e-01,1.631868131868131400e+00,9.113553113553116702e-01
2.709302902221679688e-01,2.374685282673372200e-01,1.478021978021978100e+00,8.117216117216123905e-01
2.784309387207031250e-01,2.512016479743657271e-01,1.631868131868131400e+00,8.586080586080591104e-01
2.859318256378173828e-01,2.626459143968880028e-01,1.565934065934065700e+00,7.941391941391948706e-01
2.934381961822509766e-01,2.763790341039147336e-01,1.543956043956043800e+00,9.582417582417583901e-01
3.009388446807861328e-01,2.870603494316021909e-01,1.664835164835164250e+00,7.472527472527463743e-01
3.084392547607421875e-01,3.004119935912115125e-01,1.763736263736262799e+00,9.230769230769233502e-01
3.159401416778564453e-01,3.118562600137337881e-01,1.543956043956043800e+00,7.941391941391948706e-01
3.234405517578125000e-01,3.244449530785082914e-01,1.730769230769229949e+00,9.172161172161175102e-01
3.309409618377685547e-01,3.362706950484479762e-01,1.478021978021978100e+00,8.351648351648357504e-01
3.384416103363037109e-01,3.488593881132224794e-01,1.796703296703295649e+00,8.058608058608065505e-01
3.459429740905761719e-01,3.618295567254143918e-01,1.478021978021978100e+00,8.410256410256415904e-01
3.534436225891113281e-01,3.732738231479366675e-01,1.730769230769229949e+00,8.761904761904766303e-01
3.609461784362792969e-01,3.854810406652937615e-01,1.510989010989010950e+00,8.117216117216123905e-01
3.684465885162353516e-01,3.973067826352334464e-01,1.730769230769229949e+00,8.175824175824182305e-01
3.759477138519287109e-01,4.110399023422601772e-01,1.543956043956043800e+00,7.824175824175831906e-01
3.834486007690429688e-01,4.221026932173650437e-01,1.598901098901098550e+00,8.175824175824182305e-01
3.909492492675781250e-01,4.320210574502176826e-01,1.412087912087912400e+00,8.058608058608065505e-01
3.984498977661132812e-01,4.438467994201573674e-01,1.697802197802197099e+00,7.003663003662996545e-01
4.059500694274902344e-01,4.541466392004274155e-01,1.379120879120879550e+00,8.293040293040299105e-01
4.134519100189208984e-01,4.659723811703671004e-01,1.598901098901098550e+00,7.179487179487171744e-01
4.209523200988769531e-01,4.762722209506371485e-01,1.313186813186813851e+00,8.879120879120883103e-01
4.284529685974121094e-01,4.865720607309071966e-01,1.478021978021978100e+00,6.124542124542120547e-01
4.359533786773681641e-01,4.968719005111772447e-01,1.445054945054945250e+00,7.296703296703288544e-01
4.434556961059570312e-01,5.064087891966124744e-01,1.159340659340660551e+00,7.296703296703288544e-01
4.509563446044921875e-01,5.148012512397954765e-01,1.445054945054945250e+00,5.890109890109886948e-01
4.584567546844482422e-01,5.243381399252307062e-01,1.027472527472529151e+00,8.000000000000007105e-01
4.659574031829833984e-01,5.315861753261614808e-01,1.060439560439562001e+00,6.652014652014646146e-01
4.734582901000976562e-01,5.407415884641793014e-01,1.192307692307693401e+00,5.772893772893770148e-01
4.809589385986328125e-01,5.483710994125274851e-01,1.060439560439562001e+00,7.531135531135539907e-01
4.884598255157470703e-01,5.548561837186234413e-01,8.406593406593394491e-01,6.358974358974354146e-01
4.959611892700195312e-01,5.628671702143890343e-01,9.285714285714270488e-01,5.948717948717945347e-01
5.034615993499755859e-01,5.685893034256501721e-01,8.076923076923065992e-01,6.652014652014646146e-01
5.109639167785644531e-01,5.746929121843287191e-01,7.417582417582408993e-01,7.003663003662996545e-01
5.184645652770996094e-01,5.800335698481724478e-01,6.758241758241751995e-01,6.358974358974354146e-01
5.259652137756347656e-01,5.861371786068509948e-01,7.417582417582408993e-01,5.890109890109886948e-01
5.334661006927490234e-01,5.903334096284424959e-01,6.098901098901094997e-01,6.417582417582412546e-01
5.409667491912841797e-01,5.945296406500339970e-01,4.560439560439562001e-01,6.417582417582412546e-01
5.484671592712402344e-01,5.983443961242080888e-01,5.769230769230766498e-01,6.183150183150178947e-01
5.559675693511962891e-01,6.013962005035473624e-01,3.901098901098905003e-01,6.358974358974354146e-01
5.634686946868896484e-01,6.044480048828866359e-01,3.901098901098905003e-01,5.772893772893770148e-01
5.709693431854248047e-01,6.067368581673910910e-01,3.901098901098905003e-01,4.893772893772894150e-01
5.784697532653808594e-01,6.086442359044781369e-01,1.043956043956058011e-01,5.831501831501828548e-01
5.859706401824951172e-01,6.094071869993129553e-01,1.373626373626386510e-01,4.366300366300368552e-01
5.934731960296630859e-01,6.109330891889825921e-01,5.494505494507251342e-03,4.659340659340660551e-01
6.009750366210937500e-01,6.109330891889825921e-01,3.846153846154010125e-02,4.131868131868134952e-01
6.084959506988525391e-01,6.109330891889825921e-01,5.494505494507251342e-03,3.545787545787550954e-01
6.160118579864501953e-01,6.105516136415651829e-01,-6.043956043956200119e-02,3.194139194139200555e-01
6.235141754150390625e-01,6.097886625467303645e-01,-1.813186813186824509e-01,2.901098901098908556e-01
6.310148239135742188e-01,6.074998092622259094e-01,-2.802197802197810006e-01,2.432234432234423593e-01
6.385154724121093750e-01,6.059739070725562726e-01,-1.813186813186824509e-01,1.142857142857138797e-01
6.460173130035400391e-01,6.033035782406344083e-01,-5.109890109890109500e-01,1.611721611721605996e-01
6.535177230834960938e-01,6.006332494087125440e-01,-2.802197802197810006e-01,1.142857142857138797e-01
6.610188484191894531e-01,5.960555428397036337e-01,-5.989010989010985497e-01,-6.153846153846131983e-02
6.685194969177246094e-01,5.918593118181121326e-01,-6.318681318681313996e-01,-1.318681318681313996e-01
6.760213375091552734e-01,5.861371786068509948e-01,-6.648351648351642496e-01,-2.197802197802189994e-01
6.835219860076904297e-01,5.811779964904246754e-01,-7.967032967032956492e-01,-2.901098901098908556e-01
6.910223960876464844e-01,5.739299610894939008e-01,-1.082417582417583901e+00,-3.487179487179492554e-01
6.985230445861816406e-01,5.651560234988934894e-01,-1.335164835164835750e+00,-3.721611721611726153e-01
7.060234546661376953e-01,5.567635614557104873e-01,-9.175824175824160989e-01,-6.358974358974354146e-01
7.135238647460937500e-01,5.491340505073623035e-01,-1.181318681318682451e+00,-5.597069597069594948e-01
7.210242748260498047e-01,5.392156862745096646e-01,-1.335164835164835750e+00,-4.659340659340660551e-01
7.285254001617431641e-01,5.270084687571525706e-01,-1.368131868131868600e+00,-6.945054945054938145e-01
7.360262870788574219e-01,5.174715800717173408e-01,-1.368131868131868600e+00,-6.593406593406587746e-01
7.435271739959716797e-01,5.010681315327687457e-01,-1.653846153846153300e+00,-8.058608058608065505e-01
7.510278224945068359e-01,4.922941939421683344e-01,-1.620879120879120450e+00,-7.706959706959715106e-01
7.585282325744628906e-01,4.758907454032197393e-01,-1.972527472527470849e+00,-8.468864468864474304e-01
7.660286426544189453e-01,4.636835278858626452e-01,-1.972527472527470849e+00,-8.937728937728941503e-01
7.735290527343750000e-01,4.488059815365836869e-01,-2.137362637362638651e+00,-1.005128205128205110e+00
7.810294628143310547e-01,4.312581063553828642e-01,-2.324175824175824800e+00,-9.992673992673992700e-01
7.885341644287109375e-01,4.125658045319298139e-01,-2.423076923076923350e+00,-1.010989010989010950e+00
7.960348129272460938e-01,3.953994048981464005e-01,-2.423076923076923350e+00,-1.122344322344321910e+00
8.035352230072021484e-01,3.770885786221107594e-01,-2.774725274725273749e+00,-1.075457875457875190e+00
8.110370635986328125e-01,3.545815213244836173e-01,-2.741758241758240899e+00,-1.169230769230768630e+00
8.185377120971679688e-01,3.355077439536131578e-01,-2.675824175824175200e+00,-1.057875457875457670e+00
8.260385990142822266e-01,2.927824826428633287e-01,-3.060439560439562001e+00,-1.057875457875457670e+00
8.342299461364746094e-01,2.893492027161066460e-01,-3.060439560439562001e+00,-1.063736263736263510e+00
8.417305946350097656e-01,2.656977187762272763e-01,-3.027472527472529151e+00,-9.641025641025642301e-01
8.492312431335449219e-01,2.416647592889287210e-01,-3.258241758241759101e+00,-1.005128205128205110e+00
8.567318916320800781e-01,2.016098268101007562e-01,-3.346153846153846700e+00,-1.175091575091574470e+00
8.642323017120361328e-01,1.909285114824132989e-01,-3.313186813186813851e+00,-1.098901098901098550e+00
8.717343807220458984e-01,1.653696498054468833e-01,-3.510989010989010950e+00,-9.054945054945058303e-01
8.792352676391601562e-01,1.173037308308533255e-01,-3.543956043956043800e+00,-1.081318681318681030e+00
8.867356777191162109e-01,1.112001220721747785e-01,-3.642857142857142350e+00,-1.046153846153845990e+00
8.942365646362304688e-01,8.335240711070390773e-02,-3.763736263736262799e+00,-9.054945054945058303e-01
9.017369747161865234e-01,5.436026550698080939e-02,-3.862637362637361349e+00,-1.157509157509156950e+00
9.092376232147216797e-01,2.613107499809252943e-02,-3.796703296703295649e+00,-1.157509157509156950e+00
9.167490005493164062e-01,-4.386968795300205670e-03,-3.862637362637361349e+00,-1.122344322344321910e+00
9.242496490478515625e-01,-3.299763485160589482e-02,-3.928571428571427049e+00,-1.052014652014651830e+00
9.317500591278076172e-01,-6.237125200274640235e-02,-4.016483516483518201e+00,-1.022710622710622630e+00
9.392504692077636719e-01,-9.212634470130431907e-02,-4.016483516483518201e+00,-1.122344322344321910e+00
9.467508792877197266e-01,-1.230258640421144634e-01,-4.115384615384616751e+00,-1.028571428571428470e+00
9.542515277862548828e-01,-1.539253833829246076e-01,-4.082417582417583901e+00,-1.110622710622710230e+00
9.617526531219482422e-01,-1.871137560082392071e-01,-4.115384615384616751e+00,-9.699633699633700701e-01
9.692533016204833984e-01,-2.149614709697100778e-01,-4.148351648351649601e+00,-1.005128205128205110e+00
9.774563312530517578e-01,-2.481498435950246773e-01,-4.082417582417583901e+00,-1.034432234432234310e+00
9.849569797515869141e-01,-2.798123140306714163e-01,-4.214285714285715301e+00,-9.641025641025642301e-01
9.924576282501220703e-01,-3.103303578240641514e-01,-3.994505494505492749e+00,-1.034432234432234310e+00
9.999582767486572266e-01,-3.427557793545439324e-01,-4.049450549450551051e+00,-9.992673992673992700e-01
1.007458686828613281e+00,-3.732738231479366675e-01,-4.082417582417583901e+00,-1.069597069597069350e+00
1.014959573745727539e+00,-4.037918669413294026e-01,-4.214285714285715301e+00,-1.010989010989010950e+00
1.022459983825683594e+00,-4.339284351873047285e-01,-4.148351648351649601e+00,-1.028571428571428470e+00
1.029960632324218750e+00,-4.659723811703671004e-01,-4.082417582417583901e+00,-1.046153846153845990e+00
1.037461280822753906e+00,-4.953459983215076079e-01,-3.994505494505492749e+00,-1.139926739926739430e+00
1.044961690902709961e+00,-5.273899443045699797e-01,-3.994505494505492749e+00,-1.040293040293040150e+00
1.052462339401245117e+00,-5.548561837186234413e-01,-3.994505494505492749e+00,-1.075457875457875190e+00
1.059963226318359375e+00,-5.872816052491032224e-01,-3.895604395604394199e+00,-1.063736263736263510e+00
1.067464113235473633e+00,-6.147478446631566840e-01,-3.961538461538459899e+00,-1.104761904761904390e+00
1.074965476989746094e+00,-6.467917906462190558e-01,-3.796703296703295649e+00,-1.251282051282052166e+00
1.082465887069702148e+00,-6.719691767757680623e-01,-3.829670329670328499e+00,-1.192673992673991989e+00
1.089966297149658203e+00,-7.001983672846563422e-01,-3.829670329670328499e+00,-1.274725274725275526e+00
1.097467184066772461e+00,-7.284275577935446222e-01,-3.609890109890109500e+00,-1.175091575091574470e+00
1.104967594146728516e+00,-7.551308461127650418e-01,-3.642857142857142350e+00,-1.221978021978021189e+00
1.112468242645263672e+00,-7.852674143587403677e-01,-3.609890109890109500e+00,-1.204395604395603669e+00
1.119970083236694336e+00,-8.096818493934545558e-01,-3.576923076923076650e+00,-1.221978021978021189e+00
1.127585411071777344e+00,-8.405813687342647000e-01,-3.445054945054945250e+00,-1.327472527472528085e+00
1.135086059570312500e+00,-8.607995727473873870e-01,-3.291208791208791951e+00,-1.233699633699632869e+00
1.142587423324584961e+00,-8.955138475623716232e-01,-3.258241758241759101e+00,-1.327472527472528085e+00
1.150088787078857422e+00,-9.122987716487376275e-01,-3.258241758241759101e+00,-1.292307692307693046e+00
1.157589197158813477e+00,-9.355687800411995880e-01,-3.225274725274726251e+00,-1.175091575091574470e+00
1.165089607238769531e+00,-9.599832150759137761e-01,-3.060439560439562001e+00,-1.251282051282052166e+00
1.172613143920898438e+00,-9.824902723735409182e-01,-2.939560439560437999e+00,-1.333333333333333925e+00
1.180113792419433594e+00,-1.004997329671168060e+00,-2.774725274725273749e+00,-1.286446886446887206e+00
1.187614202499389648e+00,-1.026359960326542975e+00,-2.939560439560437999e+00,-1.298168498168498886e+00
1.195348024368286133e+00,-1.050774395361257163e+00,-2.609890109890109500e+00,-1.386080586080586485e+00
1.202848434448242188e+00,-1.068322270542457986e+00,-2.774725274725273749e+00,-1.345054945054945605e+00
1.210351705551147461e+00,-1.094262607766841811e+00,-2.587912087912087600e+00,-1.356776556776557285e+00
1.217860937118530273e+00,-1.109521629663538178e+00,-2.609890109890109500e+00,-1.263003663003663846e+00
1.225362062454223633e+00,-1.130121309224078274e+00,-2.390109890109890500e+00,-1.257142857142858006e+00
1.232862472534179688e+00,-1.145380331120774642e+00,-2.456043956043956200e+00,-1.309890109890110566e+00
