time,position,velocity,torque
0.000000000000000000e+00,1.907377737087045944e-04,3.846153846154010125e-02,8.791208791208759976e-03
5.000591278076171875e-03,-1.907377737087045944e-04,-1.263736263736277010e-01,-5.245421245421244549e-01
1.000094413757324219e-02,-1.335164415960932160e-03,-2.802197802197810006e-01,-5.831501831501828548e-01
1.500129699707031250e-02,-1.335164415960932160e-03,-2.747252747252915128e-02,-6.945054945054938145e-01
2.000188827514648438e-02,-1.335164415960932160e-03,5.494505494507251342e-03,-6.124542124542120547e-01
2.500271797180175781e-02,-1.716639963378341349e-03,-9.340659340659485110e-02,-5.421245421245419749e-01
3.000307083129882812e-02,-2.479591058213159727e-03,-1.263736263736277010e-01,-5.714285714285711748e-01
3.783226013183593750e-02,-3.624017700465387293e-03,-6.043956043956200119e-02,-6.593406593406587746e-01
4.283261299133300781e-02,-4.386968795300205670e-03,-9.340659340659485110e-02,-6.827838827838821345e-01
4.783296585083007812e-02,-5.531395437552433236e-03,-3.131868131868138505e-01,-6.886446886446879745e-01
5.283331871032714844e-02,-7.057297627222069991e-03,-3.461538461538467004e-01,-7.531135531135539907e-01
5.783414840698242188e-02,-7.438773174639479180e-03,-6.043956043956200119e-02,-7.648351648351656706e-01
6.427192687988281250e-02,-8.964675364309115935e-03,-3.131868131868138505e-01,-7.062271062271054944e-01
6.927227973937988281e-02,-1.163500419623098026e-02,-5.109890109890109500e-01,-7.120879120879113344e-01
7.427287101745605469e-02,-1.277943083848320782e-02,-1.813186813186824509e-01,-8.058608058608065505e-01
7.927346229553222656e-02,-1.354238193331802620e-02,-2.142857142857153008e-01,-7.472527472527463743e-01
8.427381515502929688e-02,-1.621271076523989052e-02,-5.329670329670328499e-01,-7.120879120879113344e-01
8.927464485168457031e-02,-1.773861295490952728e-02,-3.461538461538467004e-01,-7.179487179487171744e-01
9.427499771118164062e-02,-2.040894178683139160e-02,-4.780219780219781001e-01,-7.296703296703288544e-01
1.003122329711914062e-01,-2.193484397650102835e-02,-3.461538461538467004e-01,-6.945054945054938145e-01
1.053128242492675781e-01,-2.460517280842289267e-02,-4.120879120879124002e-01,-6.710622710622704545e-01
1.103134155273437500e-01,-2.613107499809252943e-02,-4.450549450549452501e-01,-6.183150183150178947e-01
