time,position,velocity,torque
0.000000000000000000e+00,1.907377737087045944e-04,3.846153846154010125e-02,2.930402930402919992e-03
7.500410079956054688e-03,1.335164415960932160e-03,2.582417582417591007e-01,4.014652014652018153e-01
1.500105857849121094e-02,4.768444342717614859e-03,5.219780219780218999e-01,5.479853479853478149e-01
2.250146865844726562e-02,7.820248722056888369e-03,1.043956043956058011e-01,6.945054945054938145e-01
3.000879287719726562e-02,7.057297627222069991e-03,1.043956043956058011e-01,4.835164835164835750e-01
3.750967979431152344e-02,8.201724269474297557e-03,2.252747252747262507e-01,3.604395604395609354e-01
4.503011703491210938e-02,9.727626459143934312e-03,1.923076923076934008e-01,5.245421245421244549e-01
5.253052711486816406e-02,1.125352864881357107e-02,3.241758241758248005e-01,5.948717948717945347e-01
6.003093719482421875e-02,1.316090638590061701e-02,1.703296703296715009e-01,2.080586080586073194e-01
6.753158569335937500e-02,1.430533302815284458e-02,2.912087912087919506e-01,5.069597069597069350e-01
7.503199577331542969e-02,1.850156404974434565e-02,8.076923076923065992e-01,7.062271062271054944e-01
8.253288269042968750e-02,2.117189288166620997e-02,1.703296703296715009e-01,1.022710622710622630e+00
9.003329277038574219e-02,2.346074616617066511e-02,4.560439560439562001e-01,9.699633699633700701e-01
9.753394126892089844e-02,2.803845273517957537e-02,6.758241758241751995e-01,1.046153846153845990e+00
1.050345897674560547e-01,3.109025711451884888e-02,4.230769230769233502e-01,1.081318681318681030e+00
1.125349998474121094e-01,3.643091477836257752e-02,8.736263736263722990e-01,1.052014652014651830e+00
1.200354099273681641e-01,4.139009689478889698e-02,5.219780219780218999e-01,1.210256410256409509e+00
1.275358200073242188e-01,4.673075455863262562e-02,7.747252747252737493e-01,1.169230769230768630e+00
1.350364685058593750e-01,5.207141222247635426e-02,9.285714285714270488e-01,1.239560439560438709e+00
1.425371170043945312e-01,5.817502098115490128e-02,7.747252747252737493e-01,1.198534798534797829e+00
1.500375270843505859e-01,6.580453192950308505e-02,1.027472527472529151e+00,1.186813186813186149e+00
1.575379371643066406e-01,7.343404287785126883e-02,9.615384615384598987e-01,1.327472527472528085e+00
1.650717258453369141e-01,8.106355382619945260e-02,1.126373626373627701e+00,1.169230769230768630e+00
1.725721359252929688e-01,8.945601586938245475e-02,1.445054945054945250e+00,1.139926739926739430e+00
1.800737380981445312e-01,9.937438010223509366e-02,9.945054945054927487e-01,1.362637362637363125e+00
1.875741481781005859e-01,1.062409399557484591e-01,1.225274725274726251e+00,1.157509157509156950e+00
1.950819492340087891e-01,1.176852063782707347e-01,1.631868131868131400e+00,1.093040293040292710e+00
2.025823593139648438e-01,1.276035706111233736e-01,1.192307692307693401e+00,1.350915750915751445e+00
2.100830078125000000e-01,1.367589837491411942e-01,1.510989010989010950e+00,9.934065934065934300e-01
2.175836563110351562e-01,1.493476768139156974e-01,1.576923076923076650e+00,1.139926739926739430e+00
2.250840663909912109e-01,1.588845654993509271e-01,1.225274725274726251e+00,1.081318681318681030e+00
2.325844764709472656e-01,1.710917830167080211e-01,1.862637362637361349e+00,9.113553113553116702e-01
2.400851249694824219e-01,1.825360494392302968e-01,1.346153846153846700e+00,1.134065934065933590e+00
2.475855350494384766e-01,1.939803158617525725e-01,1.763736263736262799e+00,8.351648351648357504e-01
2.550861835479736328e-01,2.065690089265270757e-01,1.543956043956043800e+00,1.016849816849816790e+00
2.639694213867187500e-01,2.203021286335538065e-01,1.796703296703295649e+00,8.351648351648357504e-01
2.714698314666748047e-01,2.328908216983283097e-01,1.543956043956043800e+00,9.992673992673992700e-01
2.789709568023681641e-01,2.447165636682679946e-01,1.763736263736262799e+00,8.117216117216123905e-01
2.864713668823242188e-01,2.576867322804616833e-01,1.664835164835164250e+00,8.468864468864474304e-01
2.939720153808593750e-01,2.706569008926535957e-01,1.763736263736262799e+00,8.586080586080591104e-01
3.014726638793945312e-01,2.824826428625932806e-01,1.598901098901098550e+00,8.703296703296707904e-01
3.089759349822998047e-01,2.958342870222026022e-01,1.862637362637361349e+00,7.238095238095230144e-01
3.164763450622558594e-01,3.076600289921422871e-01,1.510989010989010950e+00,8.761904761904766303e-01
3.239772319793701172e-01,3.206301976043341995e-01,1.862637362637361349e+00,7.120879120879113344e-01
3.314776420593261719e-01,3.328374151216912935e-01,1.445054945054945250e+00,8.761904761904766303e-01
3.389780521392822266e-01,3.450446326390483875e-01,1.829670329670328499e+00,6.710622710622704545e-01
3.464791774749755859e-01,3.583962767986577092e-01,1.543956043956043800e+00,8.234432234432240705e-01
3.539795875549316406e-01,3.694590676737625756e-01,1.631868131868131400e+00,7.589743589743598307e-01
3.614811897277832031e-01,3.824292362859544880e-01,1.478021978021978100e+00,8.468864468864474304e-01
3.698453903198242188e-01,3.957808804455638096e-01,1.697802197802197099e+00,7.179487179487171744e-01
3.773462772369384766e-01,4.072251468680860853e-01,1.510989010989010950e+00,8.351648351648357504e-01
3.848469257354736328e-01,4.186694132906083610e-01,1.598901098901098550e+00,7.648351648351656706e-01
3.923478126525878906e-01,4.308766308079654550e-01,1.379120879120879550e+00,8.527472527472532704e-01
3.998484611511230469e-01,4.411764705882355031e-01,1.565934065934065700e+00,7.179487179487171744e-01
4.073488712310791016e-01,4.522392614633403696e-01,1.346153846153846700e+00,8.937728937728941503e-01
4.148495197296142578e-01,4.640650034332800544e-01,1.478021978021978100e+00,7.062271062271054944e-01
4.223499298095703125e-01,4.739833676661326933e-01,1.379120879120879550e+00,9.054945054945058303e-01
4.298505783081054688e-01,4.839017318989853322e-01,1.346153846153846700e+00,7.648351648351656706e-01
4.373512268066406250e-01,4.942015716792553803e-01,1.478021978021978100e+00,7.179487179487171744e-01
4.448516368865966797e-01,5.037384603646906100e-01,1.126373626373627701e+00,8.996336996336999903e-01
4.523525238037109375e-01,5.128938735027084306e-01,1.445054945054945250e+00,6.358974358974354146e-01
4.598529338836669922e-01,5.228122377355610695e-01,1.280219780219781001e+00,8.234432234432240705e-01
4.673533439636230469e-01,5.308232242313266624e-01,9.615384615384598987e-01,7.941391941391948706e-01
4.748537540435791016e-01,5.395971618219270738e-01,1.192307692307693401e+00,6.183150183150178947e-01
4.823553562164306641e-01,5.479896238651100759e-01,9.285714285714270488e-01,7.765567765567773506e-01
4.898560047149658203e-01,5.548561837186234413e-01,9.615384615384598987e-01,6.769230769230762945e-01
4.973571300506591797e-01,5.632486457618064435e-01,1.027472527472529151e+00,5.948717948717945347e-01
5.048577785491943359e-01,5.697337300679023997e-01,9.615384615384598987e-01,6.886446886446879745e-01
5.123581886291503906e-01,5.758373388265809467e-01,7.417582417582408993e-01,6.886446886446879745e-01
5.198595523834228516e-01,5.834668497749291305e-01,7.747252747252737493e-01,5.714285714285711748e-01
5.273604393005371094e-01,5.872816052491032224e-01,7.747252747252737493e-01,5.186813186813186149e-01
5.348610877990722656e-01,5.926222629129469510e-01,6.428571428571423496e-01,5.714285714285711748e-01
5.423614978790283203e-01,5.964370183871210429e-01,4.560439560439562001e-01,5.714285714285711748e-01
5.498621463775634766e-01,6.010147249561299532e-01,6.098901098901094997e-01,5.186813186813186149e-01
5.573754310607910156e-01,6.044480048828866359e-01,2.912087912087919506e-01,5.714285714285711748e-01
5.648760795593261719e-01,6.074998092622259094e-01,4.890109890109890500e-01,4.249084249084251752e-01
5.723767280578613281e-01,6.101701380941477737e-01,1.923076923076934008e-01,4.717948717948718951e-01
5.798773765563964844e-01,6.120775158312348196e-01,2.912087912087919506e-01,4.190476190476193352e-01
5.873780250549316406e-01,6.128404669260696380e-01,1.043956043956058011e-01,3.956043956043959753e-01
5.948786735534667969e-01,6.136034180209044564e-01,7.142857142857295116e-02,3.369963369963375754e-01
6.023790836334228516e-01,6.143663691157392748e-01,1.043956043956058011e-01,3.428571428571434154e-01
6.099474430084228516e-01,6.139848935683218656e-01,-9.340659340659485110e-02,2.959706959706966956e-01
6.174516677856445312e-01,6.128404669260696380e-01,-1.263736263736277010e-01,2.666666666666674956e-01
6.249527931213378906e-01,6.113145647364000013e-01,-2.142857142857153008e-01,1.963369963369956395e-01
6.324532032012939453e-01,6.101701380941477737e-01,-2.802197802197810006e-01,1.787545787545781195e-01
6.399536132812500000e-01,6.071183337148085002e-01,-3.461538461538467004e-01,9.670329670329635974e-02
6.474540233612060547e-01,6.044480048828866359e-01,-4.780219780219781001e-01,4.073260073260076553e-01
6.549544334411621094e-01,6.010147249561299532e-01,-5.659340659340656998e-01,4.395604395604379988e-02
6.624548435211181641e-01,5.960555428397036337e-01,-6.978021978021970995e-01,-9.084249084249051975e-02
6.699559688568115234e-01,5.914778362706947235e-01,-5.989010989010985497e-01,-1.553113553113547596e-01
6.774566173553466797e-01,5.865186541542684040e-01,-6.648351648351642496e-01,-1.846153846153839595e-01
6.849572658538818359e-01,5.796520943007550386e-01,-9.505494505494489488e-01,-2.549450549450558157e-01
6.924576759338378906e-01,5.720225833524068548e-01,-1.115384615384616751e+00,-3.076923076923083755e-01
7.000124454498291016e-01,5.628671702143890343e-01,-1.302197802197802901e+00,-3.135531135531142155e-01
7.075128555297851562e-01,5.521858548867015770e-01,-1.302197802197802901e+00,-5.128205128205127750e-01
7.150142192840576172e-01,5.437933928435185749e-01,-1.115384615384616751e+00,-4.893772893772894150e-01
7.225151062011718750e-01,5.327306019684137084e-01,-1.434065934065934300e+00,-4.366300366300368552e-01
7.300176620483398438e-01,5.212863355458914327e-01,-1.467032967032967150e+00,-5.362637362637361349e-01
7.375180721282958984e-01,5.117494468604562030e-01,-1.565934065934065700e+00,-5.538461538461536549e-01
7.450187206268310547e-01,4.991607537956816998e-01,-1.719780219780218999e+00,-6.710622710622704545e-01
7.525196075439453125e-01,4.861905851834897874e-01,-1.785714285714284699e+00,-6.417582417582412546e-01
7.600924968719482422e-01,4.709315632867934198e-01,-1.939560439560437999e+00,-7.589743589743598307e-01
7.675931453704833984e-01,4.571984435797666890e-01,-1.939560439560437999e+00,-8.527472527472532704e-01
7.750937938690185547e-01,4.415579461356529123e-01,-2.236263736263737201e+00,-7.472527472527463743e-01
